PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [AWAREACCAEQU] - ASSETS - 2024-12-31,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
CASH,-,COMMONWEALTH BANK OF AUSTRALIA,-,-,-,AUD,-,-,,,"$3,317,028",0.24%,
CASH,-,NATIONAL AUSTRALIA BANK LIMITED,-,-,-,AUD,-,-,,,"$1,639,820",0.12%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,AUD,-,-,,,"$1,535,529",0.11%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,AUD,-,-,,,"$1,394,063",0.10%,
CASH,-,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,-,-,-,AUD,-,-,,,"$83,527",0.01%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,USD,-,-,,,$60,0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,NZD,-,-,,,$5,0.00%,
CASH,-,MORGAN STANLEY,-,-,-,AUD,-,-,,,"-$2,671",0.00%,
SUB TOTAL CASH,,,,,,,,,,,"$7,967,361",0.57%,
FIXED INCOME,INTERNALLY,-,WESTPAC BANKING CORPORATION,-,-,-,-,-,,,"$3,767,228",0.27%,
FIXED INCOME,INTERNALLY,-,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,-,-,-,-,-,,,"$2,819,405",0.20%,
FIXED INCOME,INTERNALLY,-,COMMONWEALTH BANK OF AUSTRALIA,-,-,-,-,-,,,"$1,105,984",0.08%,
FIXED INCOME,INTERNALLY,-,NATIONAL AUSTRALIA BANK LIMITED,-,-,-,-,-,,,"$875,748",0.06%,
FIXED INCOME,INTERNALLY,-,STANDARD CHARTERED BANK,-,-,-,-,-,,,"$773,262",0.06%,
FIXED INCOME,INTERNALLY,-,CREDIT AGRICOLE CORPORATE & INVESTMENT BANK,-,-,-,-,-,,,"$577,519",0.04%,
FIXED INCOME,INTERNALLY,-,THE BANK OF NOVA SCOTIA,-,-,-,-,-,,,"$385,428",0.03%,
FIXED INCOME,INTERNALLY,-,COOPERATIEVE RABOBANK UA,-,-,-,-,-,,,"$288,033",0.02%,
FIXED INCOME,INTERNALLY,-,CANADIAN IMPERIAL BANK OF COMMERCE,-,-,-,-,-,,,"$242,653",0.02%,
FIXED INCOME,INTERNALLY,-,OVERSEA-CHINESE BANKING CORP. LTD.,-,-,-,-,-,,,"$194,991",0.01%,
FIXED INCOME,INTERNALLY,-,DBS BANK LTD.,-,-,-,-,-,,,"$194,210",0.01%,
FIXED INCOME,INTERNALLY,-,UNITED OVERSEAS BANK LTD.,-,-,-,-,-,,,"$193,863",0.01%,
