PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [AWAREACCBALINDX] - ASSETS - 2024-12-31,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
CASH,-,COMMONWEALTH BANK OF AUSTRALIA,-,-,-,AUD,-,-,,,"$5,203,782",1.68%,
CASH,-,NATIONAL AUSTRALIA BANK LIMITED,-,-,-,AUD,-,-,,,"$2,981,202",0.96%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,USD,-,-,,,"$357,031",0.12%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,AUD,-,-,,,"$195,503",0.06%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,EUR,-,-,,,"$149,925",0.05%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,JPY,-,-,,,"$109,191",0.04%,
CASH,-,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,-,-,-,AUD,-,-,,,"$93,039",0.03%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,AUD,-,-,,,"$92,884",0.03%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CAD,-,-,,,"$56,730",0.02%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,USD,-,-,,,"$51,111",0.02%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,DKK,-,-,,,"$32,855",0.01%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,GBP,-,-,,,"$31,874",0.01%,
CASH,-,MUFG BANK LTD.,-,-,-,USD,-,-,,,"$21,628",0.01%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,SGD,-,-,,,"$18,414",0.01%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,MYR,-,-,,,"$16,053",0.01%,
CASH,-,MORGAN STANLEY,-,-,-,USD,-,-,,,"$15,914",0.01%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,EUR,-,-,,,"$13,043",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,SEK,-,-,,,"$12,188",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,NZD,-,-,,,"$11,444",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,ILS,-,-,,,"$11,095",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,THB,-,-,,,"$10,204",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,IDR,-,-,,,"$8,691",0.00%,
CASH,-,SUMITOMO MITSUI BANKING CORP.,-,-,-,USD,-,-,,,"$8,476",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CHF,-,-,,,"$7,461",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,MXN,-,-,,,"$7,263",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,KRW,-,-,,,"$6,939",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,HKD,-,-,,,"$6,468",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,NOK,-,-,,,"$6,314",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,PEN,-,-,,,"$5,563",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,EUR,-,-,,,"$5,518",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,COP,-,-,,,"$5,441",0.00%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,JPY,-,-,,,"$4,396",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,HUF,-,-,,,"$2,708",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,PLN,-,-,,,"$2,319",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CLP,-,-,,,"$2,271",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,RON,-,-,,,"$2,233",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CZK,-,-,,,"$2,135",0.00%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,GBP,-,-,,,$701,0.00%,
CASH,-,MORGAN STANLEY,-,-,-,GBP,-,-,,,$426,0.00%,
CASH,-,MORGAN STANLEY,-,-,-,SEK,-,-,,,$153,0.00%,
CASH,-,MORGAN STANLEY,-,-,-,CAD,-,-,,,$105,0.00%,
CASH,-,MORGAN STANLEY,-,-,-,JPY,-,-,,,$67,0.00%,
CASH,-,MORGAN STANLEY,-,-,-,CHF,-,-,,,-$5,0.00%,
CASH,-,MORGAN STANLEY,-,-,-,AUD,-,-,,,-$178,0.00%,
SUB TOTAL CASH,,,,,,,,,,,"$9,570,575",3.09%,
FIXED INCOME,INTERNALLY,-,WESTPAC BANKING CORPORATION,-,-,-,-,-,,,"$4,493,219",1.45%,
FIXED INCOME,INTERNALLY,-,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,-,-,-,-,-,,,"$3,289,520",1.06%,
FIXED INCOME,INTERNALLY,-,COMMONWEALTH BANK OF AUSTRALIA,-,-,-,-,-,,,"$1,268,266",0.41%,
FIXED INCOME,INTERNALLY,-,NATIONAL AUSTRALIA BANK LIMITED,-,-,-,-,-,,,"$1,100,481",0.36%,
FIXED INCOME,INTERNALLY,-,STANDARD CHARTERED BANK,-,-,-,-,-,,,"$861,313",0.28%,
FIXED INCOME,INTERNALLY,-,DBS BANK LTD.,-,-,-,-,-,,,"$679,121",0.22%,
FIXED INCOME,INTERNALLY,-,CREDIT AGRICOLE CORPORATE & INVESTMENT BANK,-,-,-,-,-,,,"$643,280",0.21%,
FIXED INCOME,INTERNALLY,-,COOPERATIEVE RABOBANK UA,-,-,-,-,-,,,"$542,879",0.18%,
FIXED INCOME,INTERNALLY,-,THE BANK OF NOVA SCOTIA,-,-,-,-,-,,,"$429,317",0.14%,
FIXED INCOME,INTERNALLY,-,CANADIAN IMPERIAL BANK OF COMMERCE,-,-,-,-,-,,,"$401,855",0.13%,
FIXED INCOME,INTERNALLY,-,BENDIGO & ADELAIDE BANK LTD.,-,-,-,-,-,,,"$374,097",0.12%,
FIXED INCOME,INTERNALLY,-,OVERSEA-CHINESE BANKING CORP. LTD.,-,-,-,-,-,,,"$325,627",0.11%,
FIXED INCOME,INTERNALLY,-,MIZUHO BANK LTD.,-,-,-,-,-,,,"$280,918",0.09%,
FIXED INCOME,INTERNALLY,-,UNITED STATES TREASURY,-,-,-,-,-,,,"$257,051",0.08%,
