PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [VSACCSOCCN] - ASSETS - 2024-12-31,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
CASH,-,COMMONWEALTH BANK OF AUSTRALIA,-,-,-,AUD,-,-,,,"$17,473,703",0.67%,
CASH,-,NATIONAL AUSTRALIA BANK LIMITED,-,-,-,AUD,-,-,,,"$10,082,300",0.39%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,AUD,-,-,,,"$6,689,698",0.26%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,USD,-,-,,,"$3,217,726",0.12%,
CASH,-,MUFG BANK LTD.,-,-,-,USD,-,-,,,"$575,684",0.02%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,AUD,-,-,,,"$544,644",0.02%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,EUR,-,-,,,"$522,778",0.02%,
CASH,-,MORGAN STANLEY,-,-,-,EUR,-,-,,,"$370,946",0.01%,
CASH,-,UBS AG,-,-,-,AUD,-,-,,,"$353,799",0.01%,
CASH,-,BNP PARIBAS,-,-,-,USD,-,-,,,"$344,535",0.01%,
CASH,-,BARCLAYS BANK PLC,-,-,-,USD,-,-,,,"$316,135",0.01%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,NZD,-,-,,,"$314,754",0.01%,
CASH,-,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,-,-,-,AUD,-,-,,,"$305,738",0.01%,
CASH,-,MORGAN STANLEY,-,-,-,CHF,-,-,,,"$289,878",0.01%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,JPY,-,-,,,"$260,418",0.01%,
CASH,-,SUMITOMO MITSUI BANKING CORP.,-,-,-,USD,-,-,,,"$225,598",0.01%,
CASH,-,J.P. MORGAN SECURITIES LLC,-,-,-,USD,-,-,,,"$172,791",0.01%,
