PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [AWAREACCGROW] - ASSETS - 2024-12-31,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
CASH,-,COMMONWEALTH BANK OF AUSTRALIA,-,-,-,AUD,-,-,,,"$273,243,198",1.12%,
CASH,-,NATIONAL AUSTRALIA BANK LIMITED,-,-,-,AUD,-,-,,,"$154,727,273",0.63%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,USD,-,-,,,"$30,031,189",0.12%,
CASH,-,MORGAN STANLEY,-,-,-,AUD,-,-,,,"$24,810,420",0.10%,
CASH,-,MORGAN STANLEY,-,-,-,USD,-,-,,,"$18,920,051",0.08%,
CASH,-,MUFG BANK LTD.,-,-,-,USD,-,-,,,"$15,926,638",0.07%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,EUR,-,-,,,"$8,469,823",0.03%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,AUD,-,-,,,"$7,994,148",0.03%,
CASH,-,SUMITOMO MITSUI BANKING CORP.,-,-,-,USD,-,-,,,"$6,241,321",0.03%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,GBP,-,-,,,"$5,381,593",0.02%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,AUD,-,-,,,"$5,287,390",0.02%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,GBP,-,-,,,"$5,231,645",0.02%,
CASH,-,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,-,-,-,AUD,-,-,,,"$5,055,926",0.02%,
CASH,-,MORGAN STANLEY,-,-,-,EUR,-,-,,,"$4,350,469",0.02%,
CASH,-,MORGAN STANLEY,-,-,-,KRW,-,-,,,"$2,474,489",0.01%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,JPY,-,-,,,"$2,372,489",0.01%,
CASH,-,MORGAN STANLEY,-,-,-,JPY,-,-,,,"$2,050,576",0.01%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,USD,-,-,,,"$1,515,676",0.01%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,USD,-,-,,,"$1,475,015",0.01%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CAD,-,-,,,"$1,194,703",0.00%,
CASH,-,UBS AG,-,-,-,AUD,-,-,,,"$1,148,083",0.00%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,JPY,-,-,,,"$1,094,291",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CNY,-,-,,,"$1,036,214",0.00%,
