PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [AWAREACCBGRO] - ASSETS - 2024-12-31,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
CASH,-,COMMONWEALTH BANK OF AUSTRALIA,-,-,-,AUD,-,-,,,"$551,609,672",2.43%,
CASH,-,NATIONAL AUSTRALIA BANK LIMITED,-,-,-,AUD,-,-,,,"$164,608,687",0.73%,
CASH,-,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,-,-,-,AUD,-,-,,,"$161,511,950",0.71%,
CASH,-,BANK OF QUEENSLAND LTD.,-,-,-,AUD,-,-,,,"$39,701,751",0.18%,
CASH,-,GOLDMAN SACHS & CO. LLC,-,-,-,AUD,-,-,,,"$25,881,878",0.11%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,AUD,-,-,,,"$23,211,417",0.10%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,USD,-,-,,,"$23,209,569",0.10%,
CASH,-,MORGAN STANLEY,-,-,-,USD,-,-,,,"$13,719,814",0.06%,
CASH,-,MUFG BANK LTD.,-,-,-,USD,-,-,,,"$13,691,800",0.06%,
CASH,-,MORGAN STANLEY,-,-,-,AUD,-,-,,,"$13,555,875",0.06%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,AUD,-,-,,,"$7,934,984",0.03%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,EUR,-,-,,,"$7,236,623",0.03%,
CASH,-,SUMITOMO MITSUI BANKING CORP.,-,-,-,USD,-,-,,,"$5,365,533",0.02%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,GBP,-,-,,,"$4,626,281",0.02%,
CASH,-,MORGAN STANLEY,-,-,-,EUR,-,-,,,"$3,783,279",0.02%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,GBP,-,-,,,"$3,604,729",0.02%,
CASH,-,JPMORGAN CHASE BANK NATIONAL ASSOCIATION,-,-,-,AUD,-,-,,,"$2,579,615",0.01%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,JPY,-,-,,,"$2,050,473",0.01%,
CASH,-,MORGAN STANLEY,-,-,-,KRW,-,-,,,"$1,704,982",0.01%,
CASH,-,BNP PARIBAS,-,-,-,AUD,-,-,,,"$1,704,806",0.01%,
CASH,-,BNP PARIBAS,-,-,-,USD,-,-,,,"$1,369,052",0.01%,
CASH,-,BARCLAYS BANK PLC,-,-,-,USD,-,-,,,"$1,256,202",0.01%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CNY,-,-,,,"$1,079,437",0.00%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,USD,-,-,,,"$1,061,086",0.00%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,JPY,-,-,,,"$1,034,852",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,NZD,-,-,,,"$989,546",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CAD,-,-,,,"$898,101",0.00%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,USD,-,-,,,"$861,784",0.00%,
CASH,-,UBS AG,-,-,-,AUD,-,-,,,"$761,959",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,JPY,-,-,,,"$756,309",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,CHF,-,-,,,"$691,764",0.00%,
CASH,-,J.P. MORGAN SECURITIES LLC,-,-,-,USD,-,-,,,"$686,605",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,GBP,-,-,,,"$649,750",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,SGD,-,-,,,"$610,592",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,ILS,-,-,,,"$578,819",0.00%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,AUD,-,-,,,"$564,774",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,HKD,-,-,,,"$498,720",0.00%,
CASH,-,UBS AG,-,-,-,USD,-,-,,,"$452,951",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,MYR,-,-,,,"$443,748",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,SEK,-,-,,,"$407,661",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,INR,-,-,,,"$404,229",0.00%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,EUR,-,-,,,"$351,759",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,NOK,-,-,,,"$321,220",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,MXN,-,-,,,"$320,906",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,RON,-,-,,,"$299,464",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,DKK,-,-,,,"$289,695",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CZK,-,-,,,"$288,401",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,SEK,-,-,,,"$275,842",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,COP,-,-,,,"$270,421",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,RUB,-,-,,,"$259,600",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,CAD,-,-,,,"$255,179",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,IDR,-,-,,,"$246,144",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,BRL,-,-,,,"$241,652",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CHF,-,-,,,"$226,905",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,PLN,-,-,,,"$184,292",0.00%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,EUR,-,-,,,"$178,496",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,HUF,-,-,,,"$171,901",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,HKD,-,-,,,"$143,905",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,KRW,-,-,,,"$115,615",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,THB,-,-,,,"$111,749",0.00%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,GBP,-,-,,,"$72,686",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,SAR,-,-,,,"$68,192",0.00%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,JPY,-,-,,,"$49,029",0.00%,
CASH,-,MACQUARIE GROUP LTD.,-,-,-,AUD,-,-,,,"$31,691",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,TWD,-,-,,,"$18,265",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,KWD,-,-,,,"$15,560",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,PHP,-,-,,,"$13,942",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,PEN,-,-,,,"$13,313",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,QAR,-,-,,,"$9,952",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CLP,-,-,,,"$8,363",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,TRY,-,-,,,"$7,049",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,ZAR,-,-,,,"$6,779",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,AED,-,-,,,"$5,112",0.00%,
CASH,-,UBS AG,-,-,-,GBP,-,-,,,-$2,0.00%,
CASH,-,UBS AG,-,-,-,EUR,-,-,,,"-$5,683",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CNH,-,-,,,"-$28,508",0.00%,
CASH,-,BARCLAYS BANK PLC,-,-,-,AUD,-,-,,,"-$642,955",0.00%,
SUB TOTAL CASH,,,,,,,,,,,"$1,091,547,590",4.81%,
FIXED INCOME,INTERNALLY,-,WESTPAC BANKING CORPORATION,-,-,-,-,-,,,"$350,269,545",1.54%,
FIXED INCOME,INTERNALLY,-,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,-,-,-,-,-,,,"$263,175,864",1.16%,
FIXED INCOME,INTERNALLY,-,UNITED STATES TREASURY,-,-,-,-,-,,,"$162,725,706",0.72%,
FIXED INCOME,INTERNALLY,-,COMMONWEALTH BANK OF AUSTRALIA,-,-,-,-,-,,,"$145,289,272",0.64%,
FIXED INCOME,INTERNALLY,-,NATIONAL AUSTRALIA BANK LIMITED,-,-,-,-,-,,,"$138,797,783",0.61%,
FIXED INCOME,INTERNALLY,-,AUSTRALIA GOVERNMENT,-,-,-,-,-,,,"$59,071,649",0.26%,
FIXED INCOME,INTERNALLY,-,STANDARD CHARTERED BANK,-,-,-,-,-,,,"$48,818,529",0.22%,
FIXED INCOME,INTERNALLY,-,COOPERATIEVE RABOBANK UA,-,-,-,-,-,,,"$47,933,220",0.21%,
FIXED INCOME,INTERNALLY,-,BENDIGO & ADELAIDE BANK LTD.,-,-,-,-,-,,,"$45,964,422",0.20%,
FIXED INCOME,INTERNALLY,-,DBS BANK LTD.,-,-,-,-,-,,,"$43,137,671",0.19%,
FIXED INCOME,INTERNALLY,-,CREDIT AGRICOLE CORPORATE & INVESTMENT BANK,-,-,-,-,-,,,"$42,034,188",0.19%,
FIXED INCOME,INTERNALLY,-,NORFINA LTD.,-,-,-,-,-,,,"$32,128,852",0.14%,
FIXED INCOME,INTERNALLY,-,CANADIAN IMPERIAL BANK OF COMMERCE,-,-,-,-,-,,,"$27,660,771",0.12%,
FIXED INCOME,INTERNALLY,-,THE BANK OF NOVA SCOTIA,-,-,-,-,-,,,"$27,530,052",0.12%,
FIXED INCOME,INTERNALLY,-,WESTPAC SECURITISATION TRUST,-,-,-,-,-,,,"$26,866,933",0.12%,
FIXED INCOME,INTERNALLY,-,MIZUHO BANK LTD.,-,-,-,-,-,,,"$24,691,491",0.11%,
FIXED INCOME,INTERNALLY,-,SVENSKA HANDELSBANKEN AB,-,-,-,-,-,,,"$24,290,437",0.11%,
FIXED INCOME,INTERNALLY,-,PUMA,-,-,-,-,-,,,"$23,055,392",0.10%,
FIXED INCOME,INTERNALLY,-,BANK OF QUEENSLAND LTD.,-,-,-,-,-,,,"$22,048,339",0.10%,
FIXED INCOME,INTERNALLY,-,MEDALLION TRUST,-,-,-,-,-,,,"$20,946,100",0.09%,
FIXED INCOME,INTERNALLY,-,MACQUARIE BANK LTD.,-,-,-,-,-,,,"$20,454,199",0.09%,
FIXED INCOME,INTERNALLY,-,TORONTO-DOMINION BANK,-,-,-,-,-,,,"$20,227,464",0.09%,
FIXED INCOME,INTERNALLY,-,UNITED OVERSEAS BANK LTD.,-,-,-,-,-,,,"$20,011,049",0.09%,
FIXED INCOME,INTERNALLY,-,REDS TRUST,-,-,-,-,-,,,"$19,851,605",0.09%,
FIXED INCOME,INTERNALLY,-,SUMITOMO MITSUI BANKING CORP.,-,-,-,-,-,,,"$18,998,555",0.08%,
FIXED INCOME,INTERNALLY,-,OVERSEA-CHINESE BANKING CORP. LTD.,-,-,-,-,-,,,"$18,045,017",0.08%,
FIXED INCOME,INTERNALLY,-,NEW SOUTH WALES TREASURY CORP.,-,-,-,-,-,,,"$17,587,250",0.08%,
FIXED INCOME,INTERNALLY,-,IDOL TRUST,-,-,-,-,-,,,"$14,439,986",0.06%,
FIXED INCOME,INTERNALLY,-,TOYOTA FINANCE AUSTRALIA LTD.,-,-,-,-,-,,,"$14,411,711",0.06%,
FIXED INCOME,INTERNALLY,-,FIRSTMAC MORTGAGE FUNDING TRUST NO. 4,-,-,-,-,-,,,"$14,400,566",0.06%,
FIXED INCOME,INTERNALLY,-,LION TRUST,-,-,-,-,-,,,"$14,365,674",0.06%,
FIXED INCOME,INTERNALLY,-,DBG CONSOLIDATED HOLDINGS PTY LTD,-,-,-,-,-,,,"$13,216,320",0.06%,
FIXED INCOME,INTERNALLY,-,CONQUEST TRUST,-,-,-,-,-,,,"$13,196,182",0.06%,
FIXED INCOME,INTERNALLY,-,UBS AG,-,-,-,-,-,,,"$12,609,885",0.06%,
FIXED INCOME,INTERNALLY,-,TRITON TRUST,-,-,-,-,-,,,"$12,461,326",0.05%,
FIXED INCOME,INTERNALLY,-,BNP PARIBAS SA,-,-,-,-,-,,,"$12,243,197",0.05%,
FIXED INCOME,INTERNALLY,-,TREASURY CORP. OF VICTORIA,-,-,-,-,-,,,"$11,762,487",0.05%,
FIXED INCOME,INTERNALLY,-,QUEENSLAND TREASURY CORP.,-,-,-,-,-,,,"$11,246,620",0.05%,
FIXED INCOME,INTERNALLY,-,LIGHT TRUST,-,-,-,-,-,,,"$10,772,894",0.05%,
FIXED INCOME,INTERNALLY,-,MUFG BANK LTD.,-,-,-,-,-,,,"$10,688,925",0.05%,
FIXED INCOME,INTERNALLY,-,APOLLO TRUST,-,-,-,-,-,,,"$10,534,554",0.05%,
FIXED INCOME,INTERNALLY,-,NATIONAL RMBS TRUST,-,-,-,-,-,,,"$10,285,140",0.05%,
FIXED INCOME,INTERNALLY,-,BPCE SA,-,-,-,-,-,,,"$9,375,074",0.04%,
FIXED INCOME,INTERNALLY,-,LENDLEASE FINANCE LTD.,-,-,-,-,-,,,"$9,170,724",0.04%,
FIXED INCOME,INTERNALLY,-,ROYAL BANK OF CANADA,-,-,-,-,-,,,"$8,837,348",0.04%,
FIXED INCOME,INTERNALLY,-,HARVEY TRUST,-,-,-,-,-,,,"$8,347,939",0.04%,
FIXED INCOME,INTERNALLY,-,LIBERTY FUNDING PTY LIMITED,-,-,-,-,-,,,"$6,883,400",0.03%,
FIXED INCOME,INTERNALLY,-,KIWIBANK LTD.,-,-,-,-,-,,,"$6,606,905",0.03%,
FIXED INCOME,INTERNALLY,-,AFG TRUST,-,-,-,-,-,,,"$6,444,231",0.03%,
FIXED INCOME,INTERNALLY,-,NBN CO. LTD.,-,-,-,-,-,,,"$6,121,012",0.03%,
FIXED INCOME,INTERNALLY,-,PROGRESS TRUST,-,-,-,-,-,,,"$5,849,724",0.03%,
FIXED INCOME,INTERNALLY,-,ING BANK AUSTRALIA LTD.,-,-,-,-,-,,,"$5,111,160",0.02%,
FIXED INCOME,INTERNALLY,-,"CPPIB CAPITAL, INC.",-,-,-,-,-,,,"$4,955,888",0.02%,
FIXED INCOME,INTERNALLY,-,VOLKSWAGEN FINANCIAL SERVICES AUSTRALIA PTY LTD,-,-,-,-,-,,,"$4,907,739",0.02%,
FIXED INCOME,INTERNALLY,-,SYDNEY AIRPORT FINANCE CO PTY LTD,-,-,-,-,-,,,"$4,476,994",0.02%,
FIXED INCOME,INTERNALLY,-,MA MONEY RESIDENTIAL SECURITISATION TRUST,-,-,-,-,-,,,"$4,353,472",0.02%,
FIXED INCOME,INTERNALLY,-,SALUTE TRUST,-,-,-,-,-,,,"$4,340,416",0.02%,
FIXED INCOME,INTERNALLY,-,TORRENS TRUST,-,-,-,-,-,,,"$4,250,266",0.02%,
FIXED INCOME,INTERNALLY,-,BANK OF MONTREAL,-,-,-,-,-,,,"$3,995,306",0.02%,
FIXED INCOME,INTERNALLY,-,WOOLWORTHS GROUP LTD.,-,-,-,-,-,,,"$3,843,813",0.02%,
FIXED INCOME,INTERNALLY,-,WESTERN AUSTRALIAN TREASURY CORP.,-,-,-,-,-,,,"$3,535,269",0.02%,
FIXED INCOME,INTERNALLY,-,ILLAWARRA RMBS TRUST,-,-,-,-,-,,,"$3,458,816",0.02%,
FIXED INCOME,INTERNALLY,-,DRIVER AUSTRALIA NINE TRUST,-,-,-,-,-,,,"$3,262,820",0.01%,
FIXED INCOME,INTERNALLY,-,DBS GROUP HOLDINGS LTD.,-,-,-,-,-,,,"$3,163,144",0.01%,
FIXED INCOME,INTERNALLY,-,INTER-AMERICAN INVESTMENT CORP.,-,-,-,-,-,,,"$3,019,820",0.01%,
FIXED INCOME,INTERNALLY,-,ASIAN INFRASTRUCTURE INVESTMENT BANK,-,-,-,-,-,,,"$2,717,435",0.01%,
FIXED INCOME,INTERNALLY,-,PEPPER RESIDENTIAL SECURITIES TRUST,-,-,-,-,-,,,"$2,507,337",0.01%,
FIXED INCOME,INTERNALLY,-,BARTON TRUST,-,-,-,-,-,,,"$2,470,407",0.01%,
FIXED INCOME,INTERNALLY,-,BANCO SANTANDER SA,-,-,-,-,-,,,"$2,344,526",0.01%,
FIXED INCOME,INTERNALLY,-,NEWCASTLE GREATER MUTUAL GROUP LTD.,-,-,-,-,-,,,"$2,170,279",0.01%,
FIXED INCOME,INTERNALLY,-,DRIVER AUSTRALIA TEN,-,-,-,-,-,,,"$2,137,242",0.01%,
FIXED INCOME,INTERNALLY,-,RWH FINANCE PTY LTD,-,-,-,-,-,,,"$2,018,558",0.01%,
FIXED INCOME,INTERNALLY,-,DRIVER AUSTRALIA EIGHT,-,-,-,-,-,,,"$1,981,355",0.01%,
FIXED INCOME,INTERNALLY,-,ASIAN DEVELOPMENT BANK,-,-,-,-,-,,,"$1,902,651",0.01%,
FIXED INCOME,INTERNALLY,-,EUROPEAN INVESTMENT BANK,-,-,-,-,-,,,"$1,842,873",0.01%,
FIXED INCOME,INTERNALLY,-,HBS TRUST,-,-,-,-,-,,,"$1,816,997",0.01%,
FIXED INCOME,INTERNALLY,-,SCENTRE GROUP TRUST 1,-,-,-,-,-,,,"$1,679,121",0.01%,
FIXED INCOME,INTERNALLY,-,SOUTH AUSTRALIAN GOVERNMENT FINANCING AUTHORITY,-,-,-,-,-,,,"$1,491,325",0.01%,
FIXED INCOME,INTERNALLY,-,INTERNATIONAL BANK FOR RECONSTRUCTION & DEVELOPMENT,-,-,-,-,-,,,"$1,440,525",0.01%,
FIXED INCOME,INTERNALLY,-,TEACHERS MUTUAL BANK LTD.,-,-,-,-,-,,,"$1,301,607",0.01%,
FIXED INCOME,INTERNALLY,-,THE SUPERANNUATION MEMBERS HOME LOAN PROGRAMME,-,-,-,-,-,,,"$1,291,338",0.01%,
FIXED INCOME,INTERNALLY,-,THINK TANK RESIDENTIAL TRUST,-,-,-,-,-,,,"$1,276,000",0.01%,
FIXED INCOME,INTERNALLY,-,PINNACLE TRUST,-,-,-,-,-,,,"$1,133,939",0.00%,
FIXED INCOME,INTERNALLY,-,RESIMAC PREMIER,-,-,-,-,-,,,"$1,062,976",0.00%,
FIXED INCOME,INTERNALLY,-,BLUESTONE PRIME TRUST,-,-,-,-,-,,,"$1,048,167",0.00%,
FIXED INCOME,INTERNALLY,-,VICINITY CENTRES TRUST,-,-,-,-,-,,,"$975,414",0.00%,
FIXED INCOME,INTERNALLY,-,MORTGAGE HOUSE RMBS PRIME,-,-,-,-,-,,,"$956,578",0.00%,
FIXED INCOME,INTERNALLY,-,GPT WHOLESALE OFFICE FUND NO1,-,-,-,-,-,,,"$593,781",0.00%,
FIXED INCOME,INTERNALLY,-,SUNCORP GROUP LTD.,-,-,-,-,-,,,"$592,950",0.00%,
FIXED INCOME,INTERNALLY,-,KREDITANSTALT FUER WIEDERAUFBAU,-,-,-,-,-,,,"$383,346",0.00%,
FIXED INCOME,INTERNALLY,-,AUSTRALIAN NATIONAL UNIVERSITY,-,-,-,-,-,,,"$214,835",0.00%,
FIXED INCOME,INTERNALLY,-,JEM SOUTHBANK PTY LTD,-,-,-,-,-,,,"$114,275",0.00%,
FIXED INCOME,INTERNALLY,-,AXIOM EDUCATION PTY LTD,-,-,-,-,-,,,"$39,837",0.00%,
FIXED INCOME,INTERNALLY,-,BROADCOM CORP.,-,-,-,-,-,,,"$27,159",0.00%,
FIXED INCOME,INTERNALLY,-,KANSAS CITY SOUTHERN RAILWAY CO.,-,-,-,-,-,,,"$22,076",0.00%,
FIXED INCOME,INTERNALLY,-,"BAXTER INTERNATIONAL, INC.",-,-,-,-,-,,,"$21,863",0.00%,
FIXED INCOME,INTERNALLY,-,MPC FUNDING LTD.,-,-,-,-,-,,,"$21,429",0.00%,
FIXED INCOME,INTERNALLY,-,"LEHMAN BROTHERS HOLDINGS, INC.",-,-,-,-,-,,,$165,0.00%,
FIXED INCOME,INTERNALLY,-,GSR MORTGAGE LOAN TRUST,-,-,-,-,-,,,$41,0.00%,
FIXED INCOME,INTERNALLY,-,HOME EQUITY ASSET TRUST,-,-,-,-,-,,,$12,0.00%,
SUB TOTAL FIXED INCOME INTERNALLY,,,,,,,,,,,"$2,062,156,521.00",8.95%,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,ANCORA BIDCO B PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,ANDANTE FINANCE COMPANY PTY LIMITED,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,APOG BIDCO PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,AUSTRALIAN SALES FINANCE AND CREDIT CARDS TRUST NO. 3,-,-,-,-,-,,,,,
