PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [VSACCCPSTB] - ASSETS - 2024-12-31,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
CASH,-,COMMONWEALTH BANK OF AUSTRALIA,-,-,-,AUD,-,-,,,"$24,536,881",1.36%,
CASH,-,NATIONAL AUSTRALIA BANK LIMITED,-,-,-,AUD,-,-,,,"$13,934,777",0.77%,
CASH,-,GOLDMAN SACHS & CO. LLC,-,-,-,AUD,-,-,,,"$7,716,235",0.43%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,AUD,-,-,,,"$5,666,671",0.31%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,USD,-,-,,,"$1,313,952",0.07%,
CASH,-,MORGAN STANLEY,-,-,-,AUD,-,-,,,"$1,170,420",0.06%,
CASH,-,MUFG BANK LTD.,-,-,-,USD,-,-,,,"$889,442",0.05%,
CASH,-,JPMORGAN CHASE BANK NATIONAL ASSOCIATION,-,-,-,AUD,-,-,,,"$769,068",0.04%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,AUD,-,-,,,"$647,104",0.04%,
CASH,-,BNP PARIBAS,-,-,-,AUD,-,-,,,"$508,259",0.03%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,EUR,-,-,,,"$466,516",0.03%,
CASH,-,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,-,-,-,AUD,-,-,,,"$450,122",0.02%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,GBP,-,-,,,"$362,313",0.02%,
CASH,-,SUMITOMO MITSUI BANKING CORP.,-,-,-,USD,-,-,,,"$348,555",0.02%,
CASH,-,MORGAN STANLEY,-,-,-,USD,-,-,,,"$307,230",0.02%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,GBP,-,-,,,"$172,250",0.01%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,JPY,-,-,,,"$166,880",0.01%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CNY,-,-,,,"$123,008",0.01%,
CASH,-,BNP PARIBAS,-,-,-,USD,-,-,,,"$109,935",0.01%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,EUR,-,-,,,"$105,489",0.01%,
CASH,-,BARCLAYS BANK PLC,-,-,-,USD,-,-,,,"$100,873",0.01%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,NZD,-,-,,,"$91,364",0.01%,
CASH,-,MORGAN STANLEY,-,-,-,KRW,-,-,,,"$81,471",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,SGD,-,-,,,"$58,392",0.00%,
CASH,-,J.P. MORGAN SECURITIES LLC,-,-,-,USD,-,-,,,"$55,134",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,MYR,-,-,,,"$54,351",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CAD,-,-,,,"$53,226",0.00%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,JPY,-,-,,,"$51,997",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,ILS,-,-,,,"$47,996",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,HKD,-,-,,,"$47,708",0.00%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,USD,-,-,,,"$45,168",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,GBP,-,-,,,"$44,188",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,RON,-,-,,,"$41,599",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,NOK,-,-,,,"$40,114",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,MXN,-,-,,,"$39,871",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CZK,-,-,,,"$39,498",0.00%,
CASH,-,UBS AG,-,-,-,USD,-,-,,,"$36,421",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,COP,-,-,,,"$36,405",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,SEK,-,-,,,"$36,320",0.00%,
CASH,-,UBS AG,-,-,-,AUD,-,-,,,"$33,248",0.00%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,USD,-,-,,,"$30,863",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,IDR,-,-,,,"$30,006",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CHF,-,-,,,"$27,928",0.00%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,AUD,-,-,,,"$25,481",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,PLN,-,-,,,"$23,431",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,HUF,-,-,,,"$22,606",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,DKK,-,-,,,"$21,163",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,INR,-,-,,,"$19,315",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,SEK,-,-,,,"$15,773",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,KRW,-,-,,,"$13,480",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,RUB,-,-,,,"$12,405",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,BRL,-,-,,,"$12,082",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,THB,-,-,,,"$10,117",0.00%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,EUR,-,-,,,"$8,529",0.00%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,GBP,-,-,,,"$3,473",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,SAR,-,-,,,"$3,259",0.00%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,JPY,-,-,,,"$2,343",0.00%,
CASH,-,MACQUARIE GROUP LTD.,-,-,-,AUD,-,-,,,"$1,430",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,TWD,-,-,,,$873,0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,KWD,-,-,,,$744,0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,PHP,-,-,,,$666,0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,QAR,-,-,,,$476,0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,TRY,-,-,,,$337,0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,ZAR,-,-,,,$324,0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,AED,-,-,,,$244,0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CLP,-,-,,,$234,0.00%,
CASH,-,UBS AG,-,-,-,EUR,-,-,,,-$456,0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CNH,-,-,,,"-$1,362",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,CHF,-,-,,,"-$12,463",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,HKD,-,-,,,"-$28,686",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,CAD,-,-,,,"-$40,485",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,JPY,-,-,,,"-$160,299",-0.01%,
CASH,-,BARCLAYS BANK PLC,-,-,-,AUD,-,-,,,"-$191,686",-0.01%,
CASH,-,MORGAN STANLEY,-,-,-,EUR,-,-,,,"-$599,084",-0.03%,
SUB TOTAL CASH,,,,,,,,,,,"$60,053,512",3.33%,
FIXED INCOME,INTERNALLY,-,WESTPAC BANKING CORPORATION,-,-,-,-,-,,,"$50,345,902",2.79%,
FIXED INCOME,INTERNALLY,-,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,-,-,-,-,-,,,"$38,895,537",2.16%,
FIXED INCOME,INTERNALLY,-,COMMONWEALTH BANK OF AUSTRALIA,-,-,-,-,-,,,"$28,046,057",1.56%,
FIXED INCOME,INTERNALLY,-,NATIONAL AUSTRALIA BANK LIMITED,-,-,-,-,-,,,"$24,306,738",1.35%,
FIXED INCOME,INTERNALLY,-,UNITED STATES TREASURY,-,-,-,-,-,,,"$10,570,922",0.59%,
FIXED INCOME,INTERNALLY,-,AUSTRALIA GOVERNMENT,-,-,-,-,-,,,"$8,234,793",0.46%,
FIXED INCOME,INTERNALLY,-,NORFINA LTD.,-,-,-,-,-,,,"$7,928,542",0.44%,
FIXED INCOME,INTERNALLY,-,WESTPAC SECURITISATION TRUST,-,-,-,-,-,,,"$7,684,271",0.43%,
FIXED INCOME,INTERNALLY,-,SVENSKA HANDELSBANKEN AB,-,-,-,-,-,,,"$7,241,775",0.40%,
FIXED INCOME,INTERNALLY,-,BENDIGO & ADELAIDE BANK LTD.,-,-,-,-,-,,,"$7,079,226",0.39%,
FIXED INCOME,INTERNALLY,-,PUMA,-,-,-,-,-,,,"$6,629,570",0.37%,
FIXED INCOME,INTERNALLY,-,MACQUARIE BANK LTD.,-,-,-,-,-,,,"$6,098,066",0.34%,
FIXED INCOME,INTERNALLY,-,MEDALLION TRUST,-,-,-,-,-,,,"$6,019,981",0.33%,
FIXED INCOME,INTERNALLY,-,COOPERATIEVE RABOBANK UA,-,-,-,-,-,,,"$5,819,714",0.32%,
FIXED INCOME,INTERNALLY,-,REDS TRUST,-,-,-,-,-,,,"$5,674,303",0.32%,
FIXED INCOME,INTERNALLY,-,DBS BANK LTD.,-,-,-,-,-,,,"$4,997,894",0.28%,
FIXED INCOME,INTERNALLY,-,TORONTO-DOMINION BANK,-,-,-,-,-,,,"$4,996,268",0.28%,
FIXED INCOME,INTERNALLY,-,CREDIT AGRICOLE CORPORATE & INVESTMENT BANK,-,-,-,-,-,,,"$4,773,888",0.27%,
FIXED INCOME,INTERNALLY,-,IDOL TRUST,-,-,-,-,-,,,"$4,305,032",0.24%,
FIXED INCOME,INTERNALLY,-,LION TRUST,-,-,-,-,-,,,"$4,282,878",0.24%,
FIXED INCOME,INTERNALLY,-,BANK OF QUEENSLAND LTD.,-,-,-,-,-,,,"$4,244,349",0.24%,
FIXED INCOME,INTERNALLY,-,TOYOTA FINANCE AUSTRALIA LTD.,-,-,-,-,-,,,"$4,181,380",0.23%,
FIXED INCOME,INTERNALLY,-,STANDARD CHARTERED BANK,-,-,-,-,-,,,"$4,167,070",0.23%,
FIXED INCOME,INTERNALLY,-,FIRSTMAC MORTGAGE FUNDING TRUST NO. 4,-,-,-,-,-,,,"$4,123,513",0.23%,
FIXED INCOME,INTERNALLY,-,CONQUEST TRUST,-,-,-,-,-,,,"$3,840,996",0.21%,
FIXED INCOME,INTERNALLY,-,TRITON TRUST,-,-,-,-,-,,,"$3,715,129",0.21%,
FIXED INCOME,INTERNALLY,-,CANADIAN IMPERIAL BANK OF COMMERCE,-,-,-,-,-,,,"$3,493,293",0.19%,
FIXED INCOME,INTERNALLY,-,UBS AG,-,-,-,-,-,,,"$3,397,452",0.19%,
FIXED INCOME,INTERNALLY,-,LIGHT TRUST,-,-,-,-,-,,,"$3,211,752",0.18%,
FIXED INCOME,INTERNALLY,-,APOLLO TRUST,-,-,-,-,-,,,"$3,140,695",0.17%,
FIXED INCOME,INTERNALLY,-,NATIONAL RMBS TRUST,-,-,-,-,-,,,"$3,066,337",0.17%,
FIXED INCOME,INTERNALLY,-,THE BANK OF NOVA SCOTIA,-,-,-,-,-,,,"$3,030,104",0.17%,
FIXED INCOME,INTERNALLY,-,UNITED OVERSEAS BANK LTD.,-,-,-,-,-,,,"$2,940,592",0.16%,
FIXED INCOME,INTERNALLY,-,BPCE SA,-,-,-,-,-,,,"$2,725,295",0.15%,
FIXED INCOME,INTERNALLY,-,HARVEY TRUST,-,-,-,-,-,,,"$2,488,794",0.14%,
FIXED INCOME,INTERNALLY,-,NEW SOUTH WALES TREASURY CORP.,-,-,-,-,-,,,"$2,451,724",0.14%,
FIXED INCOME,INTERNALLY,-,ROYAL BANK OF CANADA,-,-,-,-,-,,,"$2,279,782",0.13%,
FIXED INCOME,INTERNALLY,-,LIBERTY FUNDING PTY LIMITED,-,-,-,-,-,,,"$2,052,167",0.11%,
FIXED INCOME,INTERNALLY,-,SUMITOMO MITSUI BANKING CORP.,-,-,-,-,-,,,"$1,945,927",0.11%,
FIXED INCOME,INTERNALLY,-,AFG TRUST,-,-,-,-,-,,,"$1,921,236",0.11%,
FIXED INCOME,INTERNALLY,-,MIZUHO BANK LTD.,-,-,-,-,-,,,"$1,862,380",0.10%,
FIXED INCOME,INTERNALLY,-,PROGRESS TRUST,-,-,-,-,-,,,"$1,743,994",0.10%,
FIXED INCOME,INTERNALLY,-,BNP PARIBAS SA,-,-,-,-,-,,,"$1,706,745",0.09%,
FIXED INCOME,INTERNALLY,-,TREASURY CORP. OF VICTORIA,-,-,-,-,-,,,"$1,639,732",0.09%,
FIXED INCOME,INTERNALLY,-,QUEENSLAND TREASURY CORP.,-,-,-,-,-,,,"$1,567,818",0.09%,
FIXED INCOME,INTERNALLY,-,OVERSEA-CHINESE BANKING CORP. LTD.,-,-,-,-,-,,,"$1,529,465",0.08%,
FIXED INCOME,INTERNALLY,-,KIWIBANK LTD.,-,-,-,-,-,,,"$1,471,101",0.08%,
FIXED INCOME,INTERNALLY,-,ING BANK AUSTRALIA LTD.,-,-,-,-,-,,,"$1,406,352",0.08%,
FIXED INCOME,INTERNALLY,-,MA MONEY RESIDENTIAL SECURITISATION TRUST,-,-,-,-,-,,,"$1,297,912",0.07%,
FIXED INCOME,INTERNALLY,-,SALUTE TRUST,-,-,-,-,-,,,"$1,294,020",0.07%,
FIXED INCOME,INTERNALLY,-,TORRENS TRUST,-,-,-,-,-,,,"$1,267,143",0.07%,
FIXED INCOME,INTERNALLY,-,BANK OF MONTREAL,-,-,-,-,-,,,"$1,191,131",0.07%,
FIXED INCOME,INTERNALLY,-,DBG CONSOLIDATED HOLDINGS PTY LTD,-,-,-,-,-,,,"$1,061,267",0.06%,
FIXED INCOME,INTERNALLY,-,ILLAWARRA RMBS TRUST,-,-,-,-,-,,,"$1,031,186",0.06%,
FIXED INCOME,INTERNALLY,-,DRIVER AUSTRALIA NINE TRUST,-,-,-,-,-,,,"$972,753",0.05%,
FIXED INCOME,INTERNALLY,-,DBS GROUP HOLDINGS LTD.,-,-,-,-,-,,,"$943,037",0.05%,
FIXED INCOME,INTERNALLY,-,WOOLWORTHS GROUP LTD.,-,-,-,-,-,,,"$858,947",0.05%,
FIXED INCOME,INTERNALLY,-,PEPPER RESIDENTIAL SECURITIES TRUST,-,-,-,-,-,,,"$747,519",0.04%,
FIXED INCOME,INTERNALLY,-,BARTON TRUST,-,-,-,-,-,,,"$736,509",0.04%,
FIXED INCOME,INTERNALLY,-,LENDLEASE FINANCE LTD.,-,-,-,-,-,,,"$736,407",0.04%,
FIXED INCOME,INTERNALLY,-,BANCO SANTANDER SA,-,-,-,-,-,,,"$698,980",0.04%,
FIXED INCOME,INTERNALLY,-,MUFG BANK LTD.,-,-,-,-,-,,,"$694,369",0.04%,
FIXED INCOME,INTERNALLY,-,"CPPIB CAPITAL, INC.",-,-,-,-,-,,,"$690,868",0.04%,
FIXED INCOME,INTERNALLY,-,NEWCASTLE GREATER MUTUAL GROUP LTD.,-,-,-,-,-,,,"$647,031",0.04%,
FIXED INCOME,INTERNALLY,-,DRIVER AUSTRALIA TEN,-,-,-,-,-,,,"$637,182",0.04%,
FIXED INCOME,INTERNALLY,-,SYDNEY AIRPORT FINANCE CO PTY LTD,-,-,-,-,-,,,"$624,109",0.03%,
FIXED INCOME,INTERNALLY,-,DRIVER AUSTRALIA EIGHT,-,-,-,-,-,,,"$590,707",0.03%,
FIXED INCOME,INTERNALLY,-,HBS TRUST,-,-,-,-,-,,,"$541,706",0.03%,
FIXED INCOME,INTERNALLY,-,NBN CO. LTD.,-,-,-,-,-,,,"$522,478",0.03%,
FIXED INCOME,INTERNALLY,-,WESTERN AUSTRALIAN TREASURY CORP.,-,-,-,-,-,,,"$492,829",0.03%,
