PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [AWAREACCCGRO] - ASSETS - 2024-12-31,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
CASH,-,COMMONWEALTH BANK OF AUSTRALIA,-,-,-,AUD,-,-,,,"$33,470,258",1.30%,
CASH,-,GOLDMAN SACHS & CO. LLC,-,-,-,AUD,-,-,,,"$22,417,805",0.87%,
CASH,-,NATIONAL AUSTRALIA BANK LIMITED,-,-,-,AUD,-,-,,,"$18,807,140",0.73%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,AUD,-,-,,,"$16,156,381",0.63%,
CASH,-,JPMORGAN CHASE BANK NATIONAL ASSOCIATION,-,-,-,AUD,-,-,,,"$2,234,355",0.09%,
CASH,-,BNP PARIBAS,-,-,-,AUD,-,-,,,"$1,476,632",0.06%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,USD,-,-,,,"$1,270,913",0.05%,
CASH,-,MUFG BANK LTD.,-,-,-,USD,-,-,,,"$1,122,642",0.04%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,AUD,-,-,,,"$1,045,859",0.04%,
CASH,-,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,-,-,-,AUD,-,-,,,"$632,657",0.02%,
CASH,-,SUMITOMO MITSUI BANKING CORP.,-,-,-,USD,-,-,,,"$439,940",0.02%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,EUR,-,-,,,"$438,944",0.02%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,GBP,-,-,,,"$420,937",0.02%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,EUR,-,-,,,"$306,708",0.01%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,JPY,-,-,,,"$211,328",0.01%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CNY,-,-,,,"$169,614",0.01%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,GBP,-,-,,,"$160,681",0.01%,
CASH,-,MORGAN STANLEY,-,-,-,EUR,-,-,,,"$122,178",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,NZD,-,-,,,"$92,489",0.00%,
CASH,-,BNP PARIBAS,-,-,-,USD,-,-,,,"$85,472",0.00%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,JPY,-,-,,,"$83,111",0.00%,
CASH,-,BARCLAYS BANK PLC,-,-,-,USD,-,-,,,"$78,427",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,SGD,-,-,,,"$77,835",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,MYR,-,-,,,"$77,573",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,KRW,-,-,,,"$76,000",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,HKD,-,-,,,"$62,923",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,ILS,-,-,,,"$60,876",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,GBP,-,-,,,"$60,762",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,RON,-,-,,,"$59,963",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CAD,-,-,,,"$57,434",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CZK,-,-,,,"$56,789",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,MXN,-,-,,,"$56,633",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,NOK,-,-,,,"$56,628",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,COP,-,-,,,"$52,477",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,SEK,-,-,,,"$52,002",0.00%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,USD,-,-,,,"$50,738",0.00%,
CASH,-,J.P. MORGAN SECURITIES LLC,-,-,-,USD,-,-,,,"$42,866",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,IDR,-,-,,,"$42,768",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CHF,-,-,,,"$39,274",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,PLN,-,-,,,"$33,294",0.00%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,USD,-,-,,,"$32,748",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,HUF,-,-,,,"$32,381",0.00%,
CASH,-,UBS AG,-,-,-,USD,-,-,,,"$28,866",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,DKK,-,-,,,"$26,807",0.00%,
CASH,-,UBS AG,-,-,-,AUD,-,-,,,"$26,628",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,SEK,-,-,,,"$25,511",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,CHF,-,-,,,"$21,606",0.00%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,AUD,-,-,,,"$20,393",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,KRW,-,-,,,"$19,296",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,INR,-,-,,,"$18,018",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,THB,-,-,,,"$14,003",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,RUB,-,-,,,"$11,572",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,BRL,-,-,,,"$11,086",0.00%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,EUR,-,-,,,"$7,957",0.00%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,GBP,-,-,,,"$3,240",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,SAR,-,-,,,"$3,040",0.00%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,JPY,-,-,,,"$2,185",0.00%,
CASH,-,MACQUARIE GROUP LTD.,-,-,-,AUD,-,-,,,"$1,144",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,TWD,-,-,,,$814,0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,KWD,-,-,,,$694,0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,PHP,-,-,,,$622,0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,QAR,-,-,,,$444,0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,TRY,-,-,,,$314,0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,ZAR,-,-,,,$302,0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CLP,-,-,,,$270,0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,AED,-,-,,,$228,0.00%,
CASH,-,UBS AG,-,-,-,EUR,-,-,,,-$362,0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CNH,-,-,,,"-$1,271",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,AUD,-,-,,,"-$57,377",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,CAD,-,-,,,"-$76,157",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,HKD,-,-,,,"-$99,875",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,USD,-,-,,,"-$533,965",-0.02%,
CASH,-,BARCLAYS BANK PLC,-,-,-,AUD,-,-,,,"-$556,901",-0.02%,
CASH,-,MORGAN STANLEY,-,-,-,JPY,-,-,,,"-$589,236",-0.02%,
SUB TOTAL CASH,,,,,,,,,,,"$100,656,331",3.92%,
FIXED INCOME,INTERNALLY,-,WESTPAC BANKING CORPORATION,-,-,-,-,-,,,"$113,521,765",4.42%,
FIXED INCOME,INTERNALLY,-,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,-,-,-,-,-,,,"$89,128,216",3.47%,
FIXED INCOME,INTERNALLY,-,COMMONWEALTH BANK OF AUSTRALIA,-,-,-,-,-,,,"$72,277,785",2.81%,
FIXED INCOME,INTERNALLY,-,NATIONAL AUSTRALIA BANK LIMITED,-,-,-,-,-,,,"$62,414,811",2.43%,
FIXED INCOME,INTERNALLY,-,NORFINA LTD.,-,-,-,-,-,,,"$21,974,373",0.86%,
FIXED INCOME,INTERNALLY,-,WESTPAC SECURITISATION TRUST,-,-,-,-,-,,,"$21,904,375",0.85%,
FIXED INCOME,INTERNALLY,-,SVENSKA HANDELSBANKEN AB,-,-,-,-,-,,,"$21,039,365",0.82%,
FIXED INCOME,INTERNALLY,-,PUMA,-,-,-,-,-,,,"$18,945,620",0.74%,
FIXED INCOME,INTERNALLY,-,MACQUARIE BANK LTD.,-,-,-,-,-,,,"$17,716,575",0.69%,
FIXED INCOME,INTERNALLY,-,MEDALLION TRUST,-,-,-,-,-,,,"$17,199,467",0.67%,
FIXED INCOME,INTERNALLY,-,BENDIGO & ADELAIDE BANK LTD.,-,-,-,-,-,,,"$16,720,767",0.65%,
FIXED INCOME,INTERNALLY,-,REDS TRUST,-,-,-,-,-,,,"$16,170,155",0.63%,
FIXED INCOME,INTERNALLY,-,TORONTO-DOMINION BANK,-,-,-,-,-,,,"$13,851,044",0.54%,
FIXED INCOME,INTERNALLY,-,UNITED STATES TREASURY,-,-,-,-,-,,,"$13,342,480",0.52%,
FIXED INCOME,INTERNALLY,-,COOPERATIEVE RABOBANK UA,-,-,-,-,-,,,"$12,678,485",0.49%,
FIXED INCOME,INTERNALLY,-,IDOL TRUST,-,-,-,-,-,,,"$12,507,314",0.49%,
FIXED INCOME,INTERNALLY,-,LION TRUST,-,-,-,-,-,,,"$12,442,948",0.48%,
FIXED INCOME,INTERNALLY,-,TOYOTA FINANCE AUSTRALIA LTD.,-,-,-,-,-,,,"$11,999,255",0.47%,
FIXED INCOME,INTERNALLY,-,AUSTRALIA GOVERNMENT,-,-,-,-,-,,,"$11,814,729",0.46%,
FIXED INCOME,INTERNALLY,-,FIRSTMAC MORTGAGE FUNDING TRUST NO. 4,-,-,-,-,-,,,"$11,760,693",0.46%,
FIXED INCOME,INTERNALLY,-,CONQUEST TRUST,-,-,-,-,-,,,"$11,038,772",0.43%,
FIXED INCOME,INTERNALLY,-,BANK OF QUEENSLAND LTD.,-,-,-,-,-,,,"$10,834,583",0.42%,
FIXED INCOME,INTERNALLY,-,TRITON TRUST,-,-,-,-,-,,,"$10,793,481",0.42%,
FIXED INCOME,INTERNALLY,-,UBS AG,-,-,-,-,-,,,"$9,637,969",0.38%,
FIXED INCOME,INTERNALLY,-,DBS BANK LTD.,-,-,-,-,-,,,"$9,574,804",0.37%,
FIXED INCOME,INTERNALLY,-,LIGHT TRUST,-,-,-,-,-,,,"$9,331,032",0.36%,
FIXED INCOME,INTERNALLY,-,CREDIT AGRICOLE CORPORATE & INVESTMENT BANK,-,-,-,-,-,,,"$9,201,910",0.36%,
FIXED INCOME,INTERNALLY,-,APOLLO TRUST,-,-,-,-,-,,,"$9,124,592",0.36%,
FIXED INCOME,INTERNALLY,-,NATIONAL RMBS TRUST,-,-,-,-,-,,,"$8,908,560",0.35%,
FIXED INCOME,INTERNALLY,-,BPCE SA,-,-,-,-,-,,,"$7,827,692",0.30%,
FIXED INCOME,INTERNALLY,-,HARVEY TRUST,-,-,-,-,-,,,"$7,230,637",0.28%,
FIXED INCOME,INTERNALLY,-,CANADIAN IMPERIAL BANK OF COMMERCE,-,-,-,-,-,,,"$7,228,101",0.28%,
FIXED INCOME,INTERNALLY,-,UNITED OVERSEAS BANK LTD.,-,-,-,-,-,,,"$6,705,801",0.26%,
FIXED INCOME,INTERNALLY,-,ROYAL BANK OF CANADA,-,-,-,-,-,,,"$6,395,353",0.25%,
FIXED INCOME,INTERNALLY,-,LIBERTY FUNDING PTY LIMITED,-,-,-,-,-,,,"$5,962,114",0.23%,
FIXED INCOME,INTERNALLY,-,STANDARD CHARTERED BANK,-,-,-,-,-,,,"$5,856,908",0.23%,
FIXED INCOME,INTERNALLY,-,THE BANK OF NOVA SCOTIA,-,-,-,-,-,,,"$5,688,231",0.22%,
FIXED INCOME,INTERNALLY,-,AFG TRUST,-,-,-,-,-,,,"$5,581,724",0.22%,
FIXED INCOME,INTERNALLY,-,PROGRESS TRUST,-,-,-,-,-,,,"$5,066,788",0.20%,
FIXED INCOME,INTERNALLY,-,KIWIBANK LTD.,-,-,-,-,-,,,"$3,953,573",0.15%,
FIXED INCOME,INTERNALLY,-,SUMITOMO MITSUI BANKING CORP.,-,-,-,-,-,,,"$3,951,410",0.15%,
FIXED INCOME,INTERNALLY,-,ING BANK AUSTRALIA LTD.,-,-,-,-,-,,,"$3,934,156",0.15%,
FIXED INCOME,INTERNALLY,-,MA MONEY RESIDENTIAL SECURITISATION TRUST,-,-,-,-,-,,,"$3,770,796",0.15%,
FIXED INCOME,INTERNALLY,-,SALUTE TRUST,-,-,-,-,-,,,"$3,759,487",0.15%,
FIXED INCOME,INTERNALLY,-,TORRENS TRUST,-,-,-,-,-,,,"$3,681,403",0.14%,
FIXED INCOME,INTERNALLY,-,NEW SOUTH WALES TREASURY CORP.,-,-,-,-,-,,,"$3,517,569",0.14%,
FIXED INCOME,INTERNALLY,-,BANK OF MONTREAL,-,-,-,-,-,,,"$3,460,567",0.13%,
