PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [AWAREACCHGINDX] - ASSETS - 2024-12-31,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
CASH,-,COMMONWEALTH BANK OF AUSTRALIA,-,-,-,AUD,-,-,,,"$9,436,167",1.26%,
CASH,-,NATIONAL AUSTRALIA BANK LIMITED,-,-,-,AUD,-,-,,,"$5,364,331",0.72%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,USD,-,-,,,"$813,253",0.11%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,AUD,-,-,,,"$461,614",0.06%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,EUR,-,-,,,"$409,841",0.05%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,JPY,-,-,,,"$282,044",0.04%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,AUD,-,-,,,"$259,676",0.03%,
CASH,-,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,-,-,-,AUD,-,-,,,"$172,574",0.02%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CAD,-,-,,,"$149,827",0.02%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,USD,-,-,,,"$144,244",0.02%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,GBP,-,-,,,"$67,355",0.01%,
CASH,-,MUFG BANK LTD.,-,-,-,USD,-,-,,,"$61,324",0.01%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,DKK,-,-,,,"$60,522",0.01%,
CASH,-,MORGAN STANLEY,-,-,-,USD,-,-,,,"$45,121",0.01%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,EUR,-,-,,,"$36,849",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,SGD,-,-,,,"$32,128",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,SEK,-,-,,,"$26,407",0.00%,
CASH,-,SUMITOMO MITSUI BANKING CORP.,-,-,-,USD,-,-,,,"$24,032",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,ILS,-,-,,,"$20,937",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CHF,-,-,,,"$18,977",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,NZD,-,-,,,"$18,400",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,HKD,-,-,,,"$16,514",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,EUR,-,-,,,"$15,645",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,MYR,-,-,,,"$14,959",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,NOK,-,-,,,"$13,801",0.00%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,JPY,-,-,,,"$12,362",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,THB,-,-,,,"$9,509",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,IDR,-,-,,,"$8,099",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,MXN,-,-,,,"$6,769",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,KRW,-,-,,,"$6,467",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,PEN,-,-,,,"$5,184",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,COP,-,-,,,"$5,070",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,HUF,-,-,,,"$2,523",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,PLN,-,-,,,"$2,161",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CLP,-,-,,,"$2,116",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,RON,-,-,,,"$2,081",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CZK,-,-,,,"$1,989",0.00%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,GBP,-,-,,,"$1,987",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,GBP,-,-,,,"$1,209",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,SEK,-,-,,,$433,0.00%,
CASH,-,MORGAN STANLEY,-,-,-,CAD,-,-,,,$298,0.00%,
CASH,-,MORGAN STANLEY,-,-,-,JPY,-,-,,,$191,0.00%,
CASH,-,MORGAN STANLEY,-,-,-,CHF,-,-,,,-$15,0.00%,
CASH,-,MORGAN STANLEY,-,-,-,AUD,-,-,,,-$498,0.00%,
SUB TOTAL CASH,,,,,,,,,,,"$18,034,477",2.41%,
FIXED INCOME,INTERNALLY,-,WESTPAC BANKING CORPORATION,-,-,-,-,-,,,"$8,291,804",1.11%,
FIXED INCOME,INTERNALLY,-,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,-,-,-,-,-,,,"$6,080,287",0.81%,
FIXED INCOME,INTERNALLY,-,COMMONWEALTH BANK OF AUSTRALIA,-,-,-,-,-,,,"$2,347,266",0.31%,
FIXED INCOME,INTERNALLY,-,NATIONAL AUSTRALIA BANK LIMITED,-,-,-,-,-,,,"$2,023,344",0.27%,
FIXED INCOME,INTERNALLY,-,STANDARD CHARTERED BANK,-,-,-,-,-,,,"$1,597,627",0.21%,
FIXED INCOME,INTERNALLY,-,DBS BANK LTD.,-,-,-,-,-,,,"$1,193,381",0.16%,
FIXED INCOME,INTERNALLY,-,CREDIT AGRICOLE CORPORATE & INVESTMENT BANK,-,-,-,-,-,,,"$1,193,203",0.16%,
FIXED INCOME,INTERNALLY,-,COOPERATIEVE RABOBANK UA,-,-,-,-,-,,,"$975,163",0.13%,
FIXED INCOME,INTERNALLY,-,THE BANK OF NOVA SCOTIA,-,-,-,-,-,,,"$796,328",0.11%,
FIXED INCOME,INTERNALLY,-,UNITED STATES TREASURY,-,-,-,-,-,,,"$728,835",0.10%,
FIXED INCOME,INTERNALLY,-,CANADIAN IMPERIAL BANK OF COMMERCE,-,-,-,-,-,,,"$726,540",0.10%,
FIXED INCOME,INTERNALLY,-,BENDIGO & ADELAIDE BANK LTD.,-,-,-,-,-,,,"$659,274",0.09%,
FIXED INCOME,INTERNALLY,-,OVERSEA-CHINESE BANKING CORP. LTD.,-,-,-,-,-,,,"$588,462",0.08%,
FIXED INCOME,INTERNALLY,-,MIZUHO BANK LTD.,-,-,-,-,-,,,"$499,870",0.07%,
FIXED INCOME,INTERNALLY,-,UNITED OVERSEAS BANK LTD.,-,-,-,-,-,,,"$464,037",0.06%,
FIXED INCOME,INTERNALLY,-,BANK OF QUEENSLAND LTD.,-,-,-,-,-,,,"$351,131",0.05%,
FIXED INCOME,INTERNALLY,-,NORFINA LTD.,-,-,-,-,-,,,"$248,782",0.03%,
FIXED INCOME,INTERNALLY,-,NBN CO. LTD.,-,-,-,-,-,,,"$200,316",0.03%,
FIXED INCOME,INTERNALLY,-,VOLKSWAGEN FINANCIAL SERVICES AUSTRALIA PTY LTD,-,-,-,-,-,,,"$158,833",0.02%,
FIXED INCOME,INTERNALLY,-,TORONTO-DOMINION BANK,-,-,-,-,-,,,"$155,922",0.02%,
FIXED INCOME,INTERNALLY,-,KIWIBANK LTD.,-,-,-,-,-,,,"$75,177",0.01%,
FIXED INCOME,INTERNALLY,-,SUMITOMO MITSUI BANKING CORP.,-,-,-,-,-,,,"$71,421",0.01%,
FIXED INCOME,INTERNALLY,-,UBS AG,-,-,-,-,-,,,"$54,572",0.01%,
FIXED INCOME,INTERNALLY,-,ROYAL BANK OF CANADA,-,-,-,-,-,,,"$53,510",0.01%,
FIXED INCOME,INTERNALLY,-,MUFG BANK LTD.,-,-,-,-,-,,,"$47,875",0.01%,
SUB TOTAL FIXED INCOME INTERNALLY,,,,,,,,,,,"$29,582,960",3.96%,
FIXED INCOME,EXTERNALLY,-,-,"STATE STREET GLOBAL ADVISORS, AUSTRALIA, LIMITED",-,-,-,-,,,"$50,483,779",6.76%,
SUB TOTAL FIXED INCOME EXTERNALLY,,,,,,,,,,,"$50,483,779",6.76%,
LISTED EQUITY,-,-,-,-,COMMONWEALTH BANK OF AUSTRALIA,-,CBA AU,-,,"179,779","$27,551,176",3.69%,
