PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [AWAREACCHGRO] - ASSETS - 2024-06-30,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
CASH,-,COMMONWEALTH BANK OF AUSTRALIA LTD.,-,-,-,AUD,-,-,,,"$756,291,541",0.90%,
CASH,-,NATIONAL AUSTRALIA BANK LTD.,-,-,-,AUD,-,-,,,"$399,503,384",0.47%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,USD,-,-,,,"$256,861,312",0.31%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,AUD,-,-,,,"$114,016,667",0.14%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,USD,-,-,,,"$46,948,416",0.06%,
CASH,-,BENDIGO AND ADELAIDE BANK LTD.,-,-,-,USD,-,-,,,"$36,568,356",0.04%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,AUD,-,-,,,"$31,943,926",0.04%,
CASH,-,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,-,-,-,AUD,-,-,,,"$15,951,865",0.02%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,EUR,-,-,,,"$14,902,866",0.02%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,EUR,-,-,,,"$11,258,528",0.01%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,DKK,-,-,,,"$11,046,043",0.01%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,JPY,-,-,,,"$10,484,563",0.01%,
CASH,-,UBS AG,-,-,-,AUD,-,-,,,"$9,911,983",0.01%,
