PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [AWAREACCIEQU] - ASSETS - 2024-12-31,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
CASH,-,COMMONWEALTH BANK OF AUSTRALIA,-,-,-,AUD,-,-,,,"$6,233,720",0.28%,
CASH,-,NATIONAL AUSTRALIA BANK LIMITED,-,-,-,AUD,-,-,,,"$3,081,728",0.14%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,USD,-,-,,,"$2,171,640",0.10%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,EUR,-,-,,,"$2,106,530",0.09%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,JPY,-,-,,,"$1,109,704",0.05%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CAD,-,-,,,"$990,285",0.04%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,USD,-,-,,,"$784,346",0.04%,
CASH,-,MUFG BANK LTD.,-,-,-,USD,-,-,,,"$499,696",0.02%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,AUD,-,-,,,"$489,955",0.02%,
CASH,-,MORGAN STANLEY,-,-,-,USD,-,-,,,"$367,664",0.02%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,DKK,-,-,,,"$308,941",0.01%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,GBP,-,-,,,"$287,497",0.01%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,EUR,-,-,,,"$222,302",0.01%,
CASH,-,SUMITOMO MITSUI BANKING CORP.,-,-,-,USD,-,-,,,"$195,821",0.01%,
CASH,-,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,-,-,-,AUD,-,-,,,"$156,973",0.01%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,SGD,-,-,,,"$133,502",0.01%,
CASH,-,MORGAN STANLEY,-,-,-,EUR,-,-,,,"$127,480",0.01%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CHF,-,-,,,"$105,227",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,SEK,-,-,,,"$87,664",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,ILS,-,-,,,"$75,697",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,NZD,-,-,,,"$74,798",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,NOK,-,-,,,"$55,716",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,HKD,-,-,,,"$49,053",0.00%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,JPY,-,-,,,"$41,673",0.00%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,GBP,-,-,,,"$16,191",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,GBP,-,-,,,"$9,852",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,SEK,-,-,,,"$3,527",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,CAD,-,-,,,"$2,434",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,JPY,-,-,,,"$1,555",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,CHF,-,-,,,-$120,0.00%,
SUB TOTAL CASH,,,,,,,,,,,"$19,791,051",0.89%,
FIXED INCOME,INTERNALLY,-,WESTPAC BANKING CORPORATION,-,-,-,-,-,,,"$7,079,783",0.32%,
FIXED INCOME,INTERNALLY,-,UNITED STATES TREASURY,-,-,-,-,-,,,"$5,938,838",0.27%,
FIXED INCOME,INTERNALLY,-,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,-,-,-,-,-,,,"$5,298,531",0.24%,
FIXED INCOME,INTERNALLY,-,COMMONWEALTH BANK OF AUSTRALIA,-,-,-,-,-,,,"$2,078,486",0.09%,
FIXED INCOME,INTERNALLY,-,NATIONAL AUSTRALIA BANK LIMITED,-,-,-,-,-,,,"$1,645,802",0.07%,
FIXED INCOME,INTERNALLY,-,STANDARD CHARTERED BANK,-,-,-,-,-,,,"$1,453,198",0.07%,
FIXED INCOME,INTERNALLY,-,CREDIT AGRICOLE CORPORATE & INVESTMENT BANK,-,-,-,-,-,,,"$1,085,335",0.05%,
FIXED INCOME,INTERNALLY,-,THE BANK OF NOVA SCOTIA,-,-,-,-,-,,,"$724,338",0.03%,
FIXED INCOME,INTERNALLY,-,SUMITOMO MITSUI BANKING CORP.,-,-,-,-,-,,,"$581,968",0.03%,
FIXED INCOME,INTERNALLY,-,COOPERATIEVE RABOBANK UA,-,-,-,-,-,,,"$541,303",0.02%,
FIXED INCOME,INTERNALLY,-,CANADIAN IMPERIAL BANK OF COMMERCE,-,-,-,-,-,,,"$456,019",0.02%,
FIXED INCOME,INTERNALLY,-,MIZUHO BANK LTD.,-,-,-,-,-,,,"$391,648",0.02%,
FIXED INCOME,INTERNALLY,-,MUFG BANK LTD.,-,-,-,-,-,,,"$390,103",0.02%,
FIXED INCOME,INTERNALLY,-,BENDIGO & ADELAIDE BANK LTD.,-,-,-,-,-,,,"$389,928",0.02%,
FIXED INCOME,INTERNALLY,-,OVERSEA-CHINESE BANKING CORP. LTD.,-,-,-,-,-,,,"$366,449",0.02%,
FIXED INCOME,INTERNALLY,-,DBS BANK LTD.,-,-,-,-,-,,,"$364,981",0.02%,
FIXED INCOME,INTERNALLY,-,UNITED OVERSEAS BANK LTD.,-,-,-,-,-,,,"$364,328",0.02%,
FIXED INCOME,INTERNALLY,-,NBN CO. LTD.,-,-,-,-,-,,,"$182,206",0.01%,
SUB TOTAL FIXED INCOME INTERNALLY,,,,,,,,,,,"$29,333,244",1.32%,
SUB TOTAL FIXED INCOME EXTERNALLY,,,,,,,,,,,$0,0.00%,
LISTED EQUITY,-,-,-,-,"APPLE, INC.",-,AAPL US,-,,"309,480","$125,171,365",5.64%,
LISTED EQUITY,-,-,-,-,NVIDIA CORP.,-,NVDA US,-,,"500,846","$108,630,436",4.89%,
LISTED EQUITY,-,-,-,-,MICROSOFT CORP.,-,MSFT US,-,,"143,649","$97,791,915",4.40%,
LISTED EQUITY,-,-,-,-,"AMAZON.COM, INC.",-,AMZN US,-,,"192,035","$68,045,884",3.06%,
LISTED EQUITY,-,-,-,-,"META PLATFORMS, INC.",-,META US,-,,"44,668","$42,240,708",1.90%,
LISTED EQUITY,-,-,-,-,"TESLA, INC.",-,TSLA US,-,,"58,513","$38,165,150",1.72%,
LISTED EQUITY,-,-,-,-,"ALPHABET, INC.",-,GOOGL US,-,,"119,354","$36,491,470",1.64%,
LISTED EQUITY,-,-,-,-,"BROADCOM, INC.",-,AVGO US,-,,"90,223","$33,784,026",1.52%,
LISTED EQUITY,-,-,-,-,"ALPHABET, INC.",-,GOOG US,-,,"103,448","$31,818,729",1.43%,
LISTED EQUITY,-,-,-,-,JPMORGAN CHASE & CO.,-,JPM US,-,,"58,399","$22,609,664",1.02%,
LISTED EQUITY,-,-,-,-,ELI LILLY & CO.,-,LLY US,-,,"16,458","$20,520,551",0.92%,
LISTED EQUITY,-,-,-,-,"VISA, INC.",-,V US,-,,"33,334","$17,015,026",0.77%,
LISTED EQUITY,-,-,-,-,"UNITEDHEALTH GROUP, INC.",-,UNH US,-,,"18,780","$15,343,360",0.69%,
LISTED EQUITY,-,-,-,-,"MASTERCARD, INC.",-,MA US,-,,"16,885","$14,360,018",0.65%,
LISTED EQUITY,-,-,-,-,COSTCO WHOLESALE CORP.,-,COST US,-,,"9,001","$13,320,663",0.60%,
LISTED EQUITY,-,-,-,-,"WALMART, INC.",-,WMT US,-,,"89,294","$13,030,345",0.59%,
LISTED EQUITY,-,-,-,-,PROCTER & GAMBLE CO.,-,PG US,-,,"47,951","$12,983,931",0.58%,
LISTED EQUITY,-,-,-,-,"HOME DEPOT, INC.",-,HD US,-,,"20,133","$12,648,810",0.57%,
LISTED EQUITY,-,-,-,-,"NETFLIX, INC.",-,NFLX US,-,,"8,752","$12,599,184",0.57%,
LISTED EQUITY,-,-,-,-,JOHNSON & JOHNSON,-,JNJ US,-,,"49,129","$11,475,388",0.52%,
LISTED EQUITY,-,-,-,-,"SALESFORCE, INC.",-,CRM US,-,,"19,825","$10,705,219",0.48%,
LISTED EQUITY,-,-,-,-,"ABBVIE, INC.",-,ABBV US,-,,"36,057","$10,348,549",0.47%,
LISTED EQUITY,-,-,-,-,BANK OF AMERICA CORP.,-,BAC US,-,,"143,726","$10,202,271",0.46%,
LISTED EQUITY,-,-,-,-,ASML HOLDING NV,-,ASML NA,-,,"8,217","$9,326,868",0.42%,
LISTED EQUITY,-,-,-,-,NOVO NORDISK AS,-,NOVOB DC,-,,"65,824","$9,214,771",0.42%,
LISTED EQUITY,-,-,-,-,ORACLE CORP.,-,ORCL US,-,,"33,657","$9,058,432",0.41%,
LISTED EQUITY,-,-,-,-,SAP SE,-,SAP GR,-,,"21,238","$8,393,471",0.38%,
LISTED EQUITY,-,-,-,-,"MERCK & CO., INC.",-,MRK US,-,,"52,022","$8,358,544",0.38%,
LISTED EQUITY,-,-,-,-,COCA-COLA CO.,-,KO US,-,,"82,938","$8,339,984",0.38%,
LISTED EQUITY,-,-,-,-,WELLS FARGO & CO.,-,WFC US,-,,"71,334","$8,092,584",0.36%,
LISTED EQUITY,-,-,-,-,"CISCO SYSTEMS, INC.",-,CSCO US,-,,"81,829","$7,824,107",0.35%,
LISTED EQUITY,-,-,-,-,ACCENTURE PLC,-,ACN US,-,,"12,856","$7,304,819",0.33%,
LISTED EQUITY,-,-,-,-,NESTLE SA,-,NESN SW,-,,"53,957","$7,200,591",0.32%,
LISTED EQUITY,-,-,-,-,"SERVICENOW, INC.",-,NOW US,-,,"4,191","$7,175,317",0.32%,
LISTED EQUITY,-,-,-,-,MCDONALD'S CORP.,-,MCD US,-,,"14,777","$6,918,885",0.31%,
LISTED EQUITY,-,-,-,-,"PEPSICO, INC.",-,PEP US,-,,"28,069","$6,893,545",0.31%,
LISTED EQUITY,-,-,-,-,WALT DISNEY CO.,-,DIS US,-,,"37,633","$6,768,098",0.30%,
LISTED EQUITY,-,-,-,-,TOYOTA MOTOR CORP.,-,7203 JP,-,,"208,753","$6,749,209",0.30%,
LISTED EQUITY,-,-,-,-,LINDE PLC,-,LIN US,-,,"9,919","$6,707,186",0.30%,
LISTED EQUITY,-,-,-,-,ASTRAZENECA PLC,-,AZN LN,-,,"31,663","$6,704,422",0.30%,
LISTED EQUITY,-,-,-,-,INTERNATIONAL BUSINESS MACHINES CORP.,-,IBM US,-,,"18,743","$6,654,682",0.30%,
LISTED EQUITY,-,-,-,-,"ADOBE, INC.",-,ADBE US,-,,"9,128","$6,555,483",0.30%,
LISTED EQUITY,-,-,-,-,ABBOTT LABORATORIES,-,ABT US,-,,"35,715","$6,524,660",0.29%,
LISTED EQUITY,-,-,-,-,"ADVANCED MICRO DEVICES, INC.",-,AMD US,-,,"33,154","$6,467,996",0.29%,
LISTED EQUITY,-,-,-,-,ROCHE HOLDING AG,-,ROG SW,-,,"14,113","$6,426,427",0.29%,
LISTED EQUITY,-,-,-,-,NOVARTIS AG,-,NOVN SW,-,,"40,243","$6,361,699",0.29%,
LISTED EQUITY,-,-,-,-,"THERMO FISHER SCIENTIFIC, INC.",-,TMO US,-,,"7,483","$6,287,724",0.28%,
LISTED EQUITY,-,-,-,-,"GOLDMAN SACHS GROUP, INC.",-,GS US,-,,"6,618","$6,121,107",0.28%,
LISTED EQUITY,-,-,-,-,"INTUITIVE SURGICAL, INC.",-,ISRG US,-,,"7,245","$6,107,471",0.28%,
LISTED EQUITY,-,-,-,-,GENERAL ELECTRIC CO.,-,GE US,-,,"22,331","$6,015,547",0.27%,
LISTED EQUITY,-,-,-,-,LVMH MOET HENNESSY LOUIS VUITTON SE,-,MC FP,-,,"5,537","$5,884,913",0.27%,
LISTED EQUITY,-,-,-,-,HSBC HOLDINGS PLC,-,HSBA LN,-,,"369,275","$5,865,868",0.26%,
LISTED EQUITY,-,-,-,-,"INTUIT, INC.",-,INTU US,-,,"5,745","$5,831,252",0.26%,
LISTED EQUITY,-,-,-,-,"CATERPILLAR, INC.",-,CAT US,-,,"9,839","$5,764,755",0.26%,
LISTED EQUITY,-,-,-,-,"QUALCOMM, INC.",-,QCOM US,-,,"23,149","$5,743,563",0.26%,
LISTED EQUITY,-,-,-,-,"TEXAS INSTRUMENTS, INC.",-,TXN US,-,,"18,818","$5,698,956",0.26%,
LISTED EQUITY,-,-,-,-,AMERICAN EXPRESS CO.,-,AXP US,-,,"11,872","$5,690,680",0.26%,
LISTED EQUITY,-,-,-,-,"VERIZON COMMUNICATIONS, INC.",-,VZ US,-,,"86,156","$5,564,706",0.25%,
LISTED EQUITY,-,-,-,-,"BOOKING HOLDINGS, INC.",-,BKNG US,-,,686,"$5,506,514",0.25%,
LISTED EQUITY,-,-,-,-,ROYAL BANK OF CANADA,-,RY CN,-,,"27,768","$5,404,788",0.24%,
LISTED EQUITY,-,-,-,-,"AT&T, INC.",-,T US,-,,"146,447","$5,385,769",0.24%,
LISTED EQUITY,-,-,-,-,"S&P GLOBAL, INC.",-,SPGI US,-,,"6,635","$5,337,395",0.24%,
LISTED EQUITY,-,-,-,-,DANAHER CORP.,-,DHR US,-,,"13,870","$5,142,398",0.23%,
LISTED EQUITY,-,-,-,-,RTX CORP.,-,RTX US,-,,"27,436","$5,127,737",0.23%,
LISTED EQUITY,-,-,-,-,"PALANTIR TECHNOLOGIES, INC.",-,PLTR US,-,,"41,363","$5,052,540",0.23%,
LISTED EQUITY,-,-,-,-,SIEMENS AG,-,SIE GR,-,,"15,947","$5,028,861",0.23%,
LISTED EQUITY,-,-,-,-,"PFIZER, INC.",-,PFE US,-,,"117,136","$5,019,157",0.23%,
LISTED EQUITY,-,-,-,-,MORGAN STANLEY,-,MS US,-,,"24,494","$4,973,515",0.22%,
LISTED EQUITY,-,-,-,-,"HONEYWELL INTERNATIONAL, INC.",-,HON US,-,,"13,454","$4,908,700",0.22%,
LISTED EQUITY,-,-,-,-,"NEXTERA ENERGY, INC.",-,NEE US,-,,"42,219","$4,888,397",0.22%,
LISTED EQUITY,-,-,-,-,"BLACKROCK, INC.",-,BLK US,-,,"2,938","$4,864,797",0.22%,
LISTED EQUITY,-,-,-,-,COMCAST CORP.,-,CMCSA US,-,,"78,735","$4,772,553",0.21%,
LISTED EQUITY,-,-,-,-,UNILEVER PLC,-,ULVR LN,-,,"51,804","$4,765,708",0.21%,
LISTED EQUITY,-,-,-,-,"LOWE'S COS., INC.",-,LOW US,-,,"11,661","$4,648,307",0.21%,
LISTED EQUITY,-,-,-,-,"AMGEN, INC.",-,AMGN US,-,,"11,022","$4,640,017",0.21%,
LISTED EQUITY,-,-,-,-,UNION PACIFIC CORP.,-,UNP US,-,,"12,559","$4,625,718",0.21%,
LISTED EQUITY,-,-,-,-,SONY GROUP CORP.,-,6758 JP,-,,"133,252","$4,613,581",0.21%,
LISTED EQUITY,-,-,-,-,PROGRESSIVE CORP.,-,PGR US,-,,"11,903","$4,606,326",0.21%,
LISTED EQUITY,-,-,-,-,"APPLIED MATERIALS, INC.",-,AMAT US,-,,"17,263","$4,534,454",0.20%,
LISTED EQUITY,-,-,-,-,"CITIGROUP, INC.",-,C US,-,,"39,650","$4,507,684",0.20%,
LISTED EQUITY,-,-,-,-,"TJX COS., INC.",-,TJX US,-,,"22,554","$4,400,872",0.20%,
LISTED EQUITY,-,-,-,-,SCHNEIDER ELECTRIC SE,-,SU FP,-,,"10,920","$4,399,601",0.20%,
LISTED EQUITY,-,-,-,-,BOEING CO.,-,BA US,-,,"15,209","$4,348,023",0.20%,
LISTED EQUITY,-,-,-,-,BOSTON SCIENTIFIC CORP.,-,BSX US,-,,"30,066","$4,337,387",0.20%,
LISTED EQUITY,-,-,-,-,CONOCOPHILLIPS,-,COP US,-,,"26,641","$4,267,056",0.19%,
LISTED EQUITY,-,-,-,-,EATON CORP. PLC,-,ETN US,-,,"7,952","$4,262,386",0.19%,
LISTED EQUITY,-,-,-,-,"MITSUBISHI UFJ FINANCIAL GROUP, INC.",-,8306 JP,-,,"222,170","$4,214,816",0.19%,
LISTED EQUITY,-,-,-,-,"SHOPIFY, INC.",-,SHOP CN,-,,"24,228","$4,162,535",0.19%,
LISTED EQUITY,-,-,-,-,STRYKER CORP.,-,SYK US,-,,"7,080","$4,117,301",0.19%,
LISTED EQUITY,-,-,-,-,"BLACKSTONE, INC.",-,BX US,-,,"14,772","$4,113,820",0.19%,
LISTED EQUITY,-,-,-,-,"ARISTA NETWORKS, INC.",-,ANET US,-,,"22,224","$3,967,410",0.18%,
LISTED EQUITY,-,-,-,-,"AUTOMATIC DATA PROCESSING, INC.",-,ADP US,-,,"8,245","$3,898,209",0.18%,
LISTED EQUITY,-,-,-,-,ALLIANZ SE,-,ALV GR,-,,"7,874","$3,896,888",0.18%,
LISTED EQUITY,-,-,-,-,"GILEAD SCIENCES, INC.",-,GILD US,-,,"25,966","$3,873,779",0.17%,
LISTED EQUITY,-,-,-,-,"FISERV, INC.",-,FI US,-,,"11,560","$3,835,215",0.17%,
LISTED EQUITY,-,-,-,-,BRISTOL-MYERS SQUIBB CO.,-,BMY US,-,,"41,926","$3,829,949",0.17%,
LISTED EQUITY,-,-,-,-,CHARLES SCHWAB CORP.,-,SCHW US,-,,"31,767","$3,797,308",0.17%,
LISTED EQUITY,-,-,-,-,HITACHI LTD.,-,6501 JP,-,,"93,753","$3,793,269",0.17%,
LISTED EQUITY,-,-,-,-,"UBER TECHNOLOGIES, INC.",-,UBER US,-,,"38,877","$3,787,502",0.17%,
LISTED EQUITY,-,-,-,-,"PALO ALTO NETWORKS, INC.",-,PANW US,-,,"12,802","$3,762,372",0.17%,
LISTED EQUITY,-,-,-,-,DEERE & CO.,-,DE US,-,,"5,492","$3,758,153",0.17%,
LISTED EQUITY,-,-,-,-,"T-MOBILE U.S., INC.",-,TMUS US,-,,"10,511","$3,747,305",0.17%,
LISTED EQUITY,-,-,-,-,"ANALOG DEVICES, INC.",-,ADI US,-,,"10,571","$3,627,498",0.16%,
LISTED EQUITY,-,-,-,-,RECRUIT HOLDINGS CO. LTD.,-,6098 JP,-,,"31,429","$3,599,696",0.16%,
LISTED EQUITY,-,-,-,-,SANOFI SA,-,SAN FP,-,,"22,773","$3,570,189",0.16%,
LISTED EQUITY,-,-,-,-,CHUBB LTD.,-,CB US,-,,"7,940","$3,543,315",0.16%,
LISTED EQUITY,-,-,-,-,DEUTSCHE TELEKOM AG,-,DTE GR,-,,"72,131","$3,485,186",0.16%,
LISTED EQUITY,-,-,-,-,"MARSH & MCLENNAN COS., INC.",-,MMC US,-,,"10,096","$3,463,646",0.16%,
LISTED EQUITY,-,-,-,-,MEDTRONIC PLC,-,MDT US,-,,"26,562","$3,426,851",0.15%,
LISTED EQUITY,-,-,-,-,LOCKHEED MARTIN CORP.,-,LMT US,-,,"4,359","$3,420,908",0.15%,
LISTED EQUITY,-,-,-,-,STARBUCKS CORP.,-,SBUX US,-,,"22,747","$3,352,464",0.15%,
LISTED EQUITY,-,-,-,-,"VERTEX PHARMACEUTICALS, INC.",-,VRTX US,-,,"5,083","$3,306,026",0.15%,
LISTED EQUITY,-,-,-,-,UBS GROUP AG,-,UBSG SW,-,,"65,989","$3,261,186",0.15%,
LISTED EQUITY,-,-,-,-,AIR LIQUIDE SA,-,AI FP,-,,"12,417","$3,258,830",0.15%,
LISTED EQUITY,-,-,-,-,"MARVELL TECHNOLOGY, INC.",-,MRVL US,-,,"18,059","$3,221,502",0.15%,
LISTED EQUITY,-,-,-,-,AIRBUS SE,-,AIR FP,-,,"12,178","$3,152,436",0.14%,
LISTED EQUITY,-,-,-,-,"SUMITOMO MITSUI FINANCIAL GROUP, INC.",-,8316 JP,-,,"80,905","$3,129,568",0.14%,
LISTED EQUITY,-,-,-,-,"UNITED PARCEL SERVICE, INC.",-,UPS US,-,,"15,297","$3,115,488",0.14%,
LISTED EQUITY,-,-,-,-,"ENBRIDGE, INC.",-,ENB CN,-,,"45,395","$3,110,272",0.14%,
LISTED EQUITY,-,-,-,-,"KKR & CO., INC.",-,KKR US,-,,"12,830","$3,064,900",0.14%,
LISTED EQUITY,-,-,-,-,LAM RESEARCH CORP.,-,LRCX US,-,,"25,937","$3,025,861",0.14%,
LISTED EQUITY,-,-,-,-,"GE VERNOVA, INC.",-,GEV US,-,,"5,591","$2,970,440",0.13%,
LISTED EQUITY,-,-,-,-,"NIKE, INC.",-,NKE US,-,,"24,288","$2,968,330",0.13%,
LISTED EQUITY,-,-,-,-,"MICRON TECHNOLOGY, INC.",-,MU US,-,,"21,824","$2,966,464",0.13%,
LISTED EQUITY,-,-,-,-,TORONTO-DOMINION BANK,-,TD CN,-,,"34,435","$2,959,509",0.13%,
LISTED EQUITY,-,-,-,-,AIA GROUP LTD.,-,1299 HK,-,,"246,949","$2,890,773",0.13%,
LISTED EQUITY,-,-,-,-,"INTERCONTINENTAL EXCHANGE, INC.",-,ICE US,-,,"11,923","$2,869,535",0.13%,
LISTED EQUITY,-,-,-,-,"PAYPAL HOLDINGS, INC.",-,PYPL US,-,,"20,629","$2,843,649",0.13%,
LISTED EQUITY,-,-,-,-,"ILLINOIS TOOL WORKS, INC.",-,ITW US,-,,"6,935","$2,839,992",0.13%,
LISTED EQUITY,-,-,-,-,ABB LTD.,-,ABBN SW,-,,"32,299","$2,824,625",0.13%,
LISTED EQUITY,-,-,-,-,L'OREAL SA,-,OR FP,-,,"4,926","$2,816,494",0.13%,
LISTED EQUITY,-,-,-,-,"CME GROUP, INC.",-,CME US,-,,"7,488","$2,808,685",0.13%,
