PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [AWAREACCPROP] - ASSETS - 2024-12-31,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
CASH,-,STATE STREET BANK AND TRUST,-,-,-,USD,-,-,,,"$1,235,113",0.43%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,USD,-,-,,,"$237,186",0.08%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,AUD,-,-,,,"$130,489",0.05%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,EUR,-,-,,,"$127,499",0.04%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,GBP,-,-,,,"$123,360",0.04%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,JPY,-,-,,,"$95,504",0.03%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,HKD,-,-,,,"$94,026",0.03%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CHF,-,-,,,"$84,066",0.03%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CAD,-,-,,,"$44,415",0.02%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,SGD,-,-,,,"$41,578",0.01%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,ILS,-,-,,,"$23,994",0.01%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,NOK,-,-,,,"$18,172",0.01%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,NZD,-,-,,,"$13,568",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,SEK,-,-,,,"$6,131",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,KRW,-,-,,,"$1,351",0.00%,
SUB TOTAL CASH,,,,,,,,,,,"$2,276,452",0.79%,
SUB TOTAL FIXED INCOME INTERNALLY,,,,,,,,,,,$0,0.00%,
SUB TOTAL FIXED INCOME EXTERNALLY,,,,,,,,,,,$0,0.00%,
SUB TOTAL LISTED EQUITY,,,,,,,,,,,$0,0.00%,
SUB TOTAL UNLISTED EQUITY INTERNALLY,,,,,,,,,,,$0,0.00%,
SUB TOTAL UNLISTED EQUITY EXTERNALLY,,,,,,,,,,,$0,0.00%,
LISTED PROPERTY,-,-,-,-,"PROLOGIS, INC.",-,PLD US,-,,"110,353","$18,839,145",6.55%,
LISTED PROPERTY,-,-,-,-,"EQUINIX, INC.",-,EQIX US,-,,"11,515","$17,536,291",6.10%,
LISTED PROPERTY,-,-,-,-,"WELLTOWER, INC.",-,WELL US,-,,"73,644","$14,990,467",5.21%,
LISTED PROPERTY,-,-,-,-,"DIGITAL REALTY TRUST, INC.",-,DLR US,-,,"39,542","$11,325,160",3.94%,
LISTED PROPERTY,-,-,-,-,"SIMON PROPERTY GROUP, INC.",-,SPG US,-,,"38,638","$10,746,843",3.74%,
LISTED PROPERTY,-,-,-,-,PUBLIC STORAGE,-,PSA US,-,,"18,851","$9,116,976",3.17%,
LISTED PROPERTY,-,-,-,-,REALTY INCOME CORP.,-,O US,-,,"104,017","$8,972,868",3.12%,
LISTED PROPERTY,-,-,-,-,"EXTRA SPACE STORAGE, INC.",-,EXR US,-,,"24,974","$6,034,215",2.10%,
LISTED PROPERTY,-,-,-,-,"AVALONBAY COMMUNITIES, INC.",-,AVB US,-,,"16,973","$6,030,282",2.10%,
LISTED PROPERTY,-,-,-,-,"IRON MOUNTAIN, INC.",-,IRM US,-,,"34,817","$5,910,646",2.05%,
LISTED PROPERTY,-,-,-,-,"VICI PROPERTIES, INC.",-,VICI US,-,,"124,580","$5,877,378",2.04%,
LISTED PROPERTY,-,-,-,-,EQUITY RESIDENTIAL,-,EQR US,-,,"45,125","$5,230,080",1.82%,
LISTED PROPERTY,-,-,-,-,"VENTAS, INC.",-,VTR US,-,,"50,024","$4,757,950",1.65%,
LISTED PROPERTY,-,-,-,-,VONOVIA SE,-,VNA GR,-,,"83,739","$4,106,243",1.43%,
LISTED PROPERTY,-,-,-,-,"INVITATION HOMES, INC.",-,INVH US,-,,"72,701","$3,753,942",1.30%,
LISTED PROPERTY,-,-,-,-,"ESSEX PROPERTY TRUST, INC.",-,ESS US,-,,"7,608","$3,507,204",1.22%,
LISTED PROPERTY,-,-,-,-,"MID-AMERICA APARTMENT COMMUNITIES, INC.",-,MAA US,-,,"13,806","$3,446,671",1.20%,
LISTED PROPERTY,-,-,-,-,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",-,ARE US,-,,"20,603","$3,246,171",1.13%,
LISTED PROPERTY,-,-,-,-,KIMCO REALTY CORP.,-,KIM US,-,,"78,238","$2,960,693",1.03%,
LISTED PROPERTY,-,-,-,-,"SUN COMMUNITIES, INC.",-,SUI US,-,,"14,685","$2,916,663",1.01%,
LISTED PROPERTY,-,-,-,-,"HEALTHPEAK PROPERTIES, INC.",-,DOC US,-,,"84,231","$2,757,575",0.96%,
LISTED PROPERTY,-,-,-,-,"UDR, INC.",-,UDR US,-,,"38,978","$2,732,862",0.95%,
LISTED PROPERTY,-,-,-,-,REGENCY CENTERS CORP.,-,REG US,-,,"21,861","$2,610,284",0.91%,
LISTED PROPERTY,-,-,-,-,AMERICAN HOMES 4 RENT,-,AMH US,-,,"40,104","$2,423,803",0.84%,
LISTED PROPERTY,-,-,-,-,"EQUITY LIFESTYLE PROPERTIES, INC.",-,ELS US,-,,"22,533","$2,423,760",0.84%,
LISTED PROPERTY,-,-,-,-,"GAMING & LEISURE PROPERTIES, INC.",-,GLPI US,-,,"30,953","$2,407,645",0.84%,
LISTED PROPERTY,-,-,-,-,"HOST HOTELS & RESORTS, INC.",-,HST US,-,,"82,769","$2,342,096",0.81%,
LISTED PROPERTY,-,-,-,-,CAMDEN PROPERTY TRUST,-,CPT US,-,,"12,294","$2,304,157",0.80%,
LISTED PROPERTY,-,-,-,-,SEGRO PLC,-,SGRO LN,-,,"161,872","$2,295,945",0.80%,
LISTED PROPERTY,-,-,-,-,"WP CAREY, INC.",-,WPC US,-,,"25,777","$2,268,175",0.79%,
LISTED PROPERTY,-,-,-,-,"BXP, INC.",-,BXP US,-,,"18,691","$2,244,740",0.78%,
LISTED PROPERTY,-,-,-,-,LINK REIT,-,823 HK,-,,"315,618","$2,155,729",0.75%,
LISTED PROPERTY,-,-,-,-,SCENTRE GROUP,-,SCG AU,-,,"617,378","$2,117,608",0.74%,
LISTED PROPERTY,-,-,-,-,"OMEGA HEALTHCARE INVESTORS, INC.",-,OHI US,-,,"32,311","$1,975,246",0.69%,
LISTED PROPERTY,-,-,-,-,CUBESMART,-,CUBE US,-,,"26,555","$1,837,799",0.64%,
LISTED PROPERTY,-,-,-,-,FEDERAL REALTY INVESTMENT TRUST,-,FRT US,-,,"10,123","$1,830,285",0.64%,
LISTED PROPERTY,-,-,-,-,"REXFORD INDUSTRIAL REALTY, INC.",-,REXR US,-,,"26,134","$1,631,828",0.57%,
