PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [VSACCTD] - ASSETS - 2024-12-31,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
CASH,-,NATIONAL AUSTRALIA BANK LIMITED,-,-,-,AUD,-,-,,,"$301,226,345",100.00%,
SUB TOTAL CASH,,,,,,,,,,,"$301,226,345",100.00%,
SUB TOTAL FIXED INCOME INTERNALLY,,,,,,,,,,,$0,0.00%,
SUB TOTAL FIXED INCOME EXTERNALLY,,,,,,,,,,,$0,0.00%,
SUB TOTAL LISTED EQUITY,,,,,,,,,,,$0,0.00%,
SUB TOTAL UNLISTED EQUITY INTERNALLY,,,,,,,,,,,$0,0.00%,
SUB TOTAL UNLISTED EQUITY EXTERNALLY,,,,,,,,,,,$0,0.00%,
SUB TOTAL LISTED PROPERTY,,,,,,,,,,,$0,0.00%,
SUB TOTAL UNLISTED PROPERTY INTERNALLY,,,,,,,,,,,$0,0.00%,
SUB TOTAL UNLISTED PROPERTY EXTERNALLY,,,,,,,,,,,$0,0.00%,
SUB TOTAL LISTED INFRASTRUCTURE,,,,,,,,,,,$0,0.00%,
SUB TOTAL UNLISTED INFRASTRUCTURE INTERNALLY,,,,,,,,,,,$0,0.00%,
SUB TOTAL UNLISTED INFRASTRUCTURE EXTERNALLY,,,,,,,,,,,$0,0.00%,
SUB TOTAL LISTED ALTERNATIVES,,,,,,,,,,,$0,0.00%,
SUB TOTAL UNLISTED ALTERNATIVES INTERNALLY,,,,,,,,,,,$0,0.00%,
SUB TOTAL UNLISTED ALTERNATIVES EXTERNALLY,,,,,,,,,,,$0,0.00%,
TOTAL INVESTMENT ITEMS,,,,,,,,,,,"$301,226,345",100.00%,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
PHD SCHEDULE 8D TABLE 2 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [VSACCTD] - DERIVATIVES - 2024-12-31,,,,,,,,,,,,,
KIND OF DERIVATIVE,VALUE,WEIGHTING,,,,,,,,,,,
SWAPS,$0.00,0.00%,,,,,,,,,,,
FORWARDS,$0.00,0.00%,,,,,,,,,,,
FUTURES,$0.00,0.00%,,,,,,,,,,,
OPTIONS,$0.00,0.00%,,,,,,,,,,,
OTHERS,$0.00,0.00%,,,,,,,,,,,
TOTAL,$0.00,0.00%,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
PHD SCHEDULE 8D TABLE 3 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [VSACCTD] - DERIVATIVES BY ASSET CLASS - 2024-12-31,,,,,,,,,,,,,
ASSET CLASS,ACTUAL ASSET ALLOCATION (% OF ASSETS (INCLUDING DERIVATIVES) IN THE INVESTMENT OPTION),EFFECT OF DERIVATIVES EXPOSURE (% OF ASSETS (INCLUDING DERIVATIVES) IN THE INVESTMENT OPTION),,,,,,,,,,,
CASH,100%,0%,,,,,,,,,,,
FIXED INCOME,0%,0%,,,,,,,,,,,
EQUITIES,0%,0%,,,,,,,,,,,
PROPERTY,0%,0%,,,,,,,,,,,
INFRASTRUCTURE,0%,0%,,,,,,,,,,,
ALTERNATIVES,0%,0%,,,,,,,,,,,
TOTAL,100%,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
PHD SCHEDULE 8D TABLE 4 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [VSACCTD] - DERIVATIVES BY CURRENCY - 2024-12-31,,,,,,,,,,,,,
CURRENCY EXPOSURE,ACTUAL CURRENCY EXPOSURE (% OF ASSETS (INCLUDING DERIVATIVES) IN THE INVESTMENT OPTION),EFFECT OF DERIVATIVES EXPOSURE (% OF ASSETS (INCLUDING DERIVATIVES) IN THE INVESTMENT OPTION),,,,,,,,,,,
AUD,100%,0%,,,,,,,,,,,
USD,0%,0%,,,,,,,,,,,
CURRENCIES OF OTHER DEVELOPED MARKETS,0%,0%,,,,,,,,,,,
CURRENCIES OF EMERGING MARKETS,0%,0%,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
